"hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","establishmentTypes/0","establishmentTypes/1","numberOfReviews","website","longitude","image","locationString","rating","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","email","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","type","rankingDenominator","localAddress","phone","priceLevel","isLongClosed","subcategories/0","ownersTopReasons","rankingPosition","localName","dishes/0","dishes/1","openNowText","rankingString","priceRange","id","address","name","menuWebUrl","photoCount","webUrl","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","isClosed","category"
,"Africa/Nairobi","1260","390","1260","390","1260","390","1260","390","1260","390","1260","390","1260","390",,,,,,,,,,,,,,,,,,,,,"African","Cafe","Fast Food","International","Diner","Healthy",,"Restaurants",,"1","https://www.facebook.com/The-Swahili-Joint-Eldoret-174162837563494/","35.27797","https://media-cdn.tripadvisor.com/media/photo-o/1c/ce/47/c9/the-swahili-joint-eldoret.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya","30100",,"Watergate Building, Ronald Ngala Street","First Floor, Next To Khetias Supermarket",,"Breakfast","Lunch","Dinner",,,,"RESTAURANT","27",,"+254 796 800465","$$ - $$$","false",,,"26","",,,"Closes in 14 min","#26 of 35 places to eat in Eldoret",,"23278380","Watergate Building, Ronald Ngala Street First Floor, Next To Khetias Supermarket, Eldoret 30100 Kenya","The Swahili Joint Eldoret",,"5","https://www.tripadvisor.com/Restaurant_Review-g681265-d23278380-Reviews-The_Swahili_Joint_Eldoret-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","1","0","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"9","http://www.eldoria.co.ke","35.27369",,"Eldoret, Rift Valley Province","3.5","Eldoret","Kenya","30100",,"Zion Mall","Uganda Road",,,,,,,,"RESTAURANT","27",,"+254 727 867412","$$ - $$$","false",,,"21","",,,,"#21 of 35 places to eat in Eldoret",,"6721262","Zion Mall Uganda Road, Eldoret 30100 Kenya","Eldoria Restaurant",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d6721262-Reviews-Eldoria_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"1","1","3","1","3","false","restaurant"
,,,,,,,,,,,,,,,,"Reservations","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,"International",,,,,,,"Restaurants",,"18",,,"https://media-cdn.tripadvisor.com/media/photo-o/06/65/18/d4/front-view.jpg","Eldoret, Rift Valley Province","3","Eldoret","Kenya",,,"Kapsabet Rd Langas",,,"Breakfast","Dinner",,,,,"RESTAURANT","27",,"+254 726 925162","$$ - $$$","false","Sit down",,"24","",,,,"#24 of 35 places to eat in Eldoret",,"4261955","Kapsabet Rd Langas, Eldoret Kenya","Starbucks Restaurant and Hotel",,"6","https://www.tripadvisor.com/Restaurant_Review-g681265-d4261955-Reviews-Starbucks_Restaurant_and_Hotel-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Dinner",,,,,"4","3","3","4","4","false","restaurant"
,"Africa/Nairobi","750","660","750","660","750","660","750","660","750","660","870","660","870","660","Table Service",,,,,,,,,,,,,,,,,,,,"Chinese","Indian","African",,,,,"Restaurants",,"5","https://www.facebook.com/Zaika-Lounge-113115529401847/","35.289356","https://media-cdn.tripadvisor.com/media/photo-o/18/69/1f/ba/zaika-lounge.jpg","Eldoret, Rift Valley Province","4","Eldoret","Kenya",,,"Nairobi Rd","2nd Floor, Rupa Mall",,"Lunch",,,,,,"RESTAURANT","27",,"+254 727 246197","$$ - $$$","false","Sit down",,"25","",,,"Closed Now","#25 of 35 places to eat in Eldoret","KES 17,788 - KES 741,180","13481660","Nairobi Rd 2nd Floor, Rupa Mall, Eldoret Kenya","Zaika Lounge",,"4","https://www.tripadvisor.com/Restaurant_Review-g681265-d13481660-Reviews-Zaika_Lounge-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch",,,,,,"1","0","1","0","3","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African","Barbecue","Contemporary","Diner",,,,"Restaurants",,"0","https://www.facebook.com/ohicatering/","35.272293",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya",,,"Uganda Road",,,,,,,,,"RESTAURANT",,,"+254 717 580036","$","false","Sit down",,,"",,,,,"KES 7,412 - KES 148,236","17804595","Uganda Road, Eldoret Kenya","OHI Catering Center",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d17804595-Reviews-OHI_Catering_Center-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","0","false","restaurant"
,"Africa/Nairobi","1290","540","1290","540","1290","540","1290","540","1290","540","1290","540","1290","540","Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Discover","Accepts Credit Cards","Drive Thru","Sports bars",,,"Italian","Indian","African","Middle Eastern","Afghan","Central-Italian",,"Restaurants",,"0",,"35.26677",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya","30100",,"Uganda road eldo center","Eldo center","udaykhetiya@gmail.com","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","RESTAURANT",,,"+254 729 901878",,"false",,,,"",,,"Open Now",,,"25528329","Uganda road eldo center Eldo center, Eldoret 30100 Kenya","Veg curries",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d25528329-Reviews-Veg_curries-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","0","0","0","0","0","false","restaurant"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"0","https://www.facebook.com/blueloungeeldoret/","35.256042","https://media-cdn.tripadvisor.com/media/photo-o/1a/38/b0/3d/finger-biting-delicacies.jpg","Eldoret, Rift Valley Province",,"Eldoret","Kenya","30100",,"Eldoret Kapsabet Road","Next to Kobil Petrol Station Pioneer","blueloungeld@gmail.com","Breakfast","Lunch","Dinner",,,,"RESTAURANT",,,"+254 720 331686",,"false",,,,"",,,"Open Now",,,"19605157","Eldoret Kapsabet Road Next to Kobil Petrol Station Pioneer, Eldoret 30100 Kenya","Blue Lounge",,"2","https://www.tripadvisor.com/Restaurant_Review-g681265-d19605157-Reviews-Blue_Lounge-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","0","0","false","restaurant"
,"Africa/Nairobi",,,"1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","Delivery","Reservations","Outdoor Seating","Parking Available","Street Parking","Television","Accepts Visa","Cash Only","Accepts Credit Cards",,,,,,,,,,,,"British","Contemporary","Diner",,,,,"Bakeries",,"0","https://www.facebook.com/buynbakeld/","35.27363",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya","30100",,"Oloo Street",,"buynbakeld@gmail.com","Breakfast","Lunch","Dinner","Drinks",,,"RESTAURANT",,,"+254 721 860371",,"false",,,,"",,,"Open Now",,,"26364290","Oloo Street, Eldoret 30100 Kenya","Buy N Bake Cakes",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d26364290-Reviews-Buy_N_Bake_Cakes-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner","Drinks",,,"0","0","0","0","0","false","restaurant"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"0","https://www.facebook.com/hatens.kitchen/?ref=page_internal","35.305397",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya",,,,,"hello@hatenskitchen.com",,,,,,,"RESTAURANT",,,"+254 704 047368",,"false",,,,"",,,,,,"23462371","Eldoret Kenya","Hatens Kitchen",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d23462371-Reviews-Hatens_Kitchen-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country",,,,,,,"0","0","0","0","0","false","restaurant"
,"Africa/Nairobi","1260","660","1260","660","1260","660","1260","660","1260","660","1260","660","1260","660",,,,,,,,,,,,,,,,,,,,,"Indian","African","Bar","Barbecue","Pub","Central-Italian",,"Restaurants",,"0",,"35.255512",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya",,,"Owashika Drive",,,"Lunch","Dinner",,,,,"RESTAURANT",,,"+254 722 679390",,"false",,,,"",,,"Closes in 13 min",,,"23886108","Owashika Drive, Eldoret Kenya","Golden Simba Garden Restaurant",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d23886108-Reviews-Golden_Simba_Garden_Restaurant-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Lunch","Dinner",,,,,"0","0","0","0","0","false","restaurant"
,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","Delivery","Private Dining","Parking Available","Highchairs Available","Full Bar","Cash Only","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,"Chinese","Indian","African",,,,,"Bars & Pubs","Restaurants","0",,"35.381123",,"Eldoret, Rift Valley Province",,"Eldoret","Kenya","30100",,"Eldoret-Nakuru highway",,,"Breakfast","Lunch","Dinner",,,,"RESTAURANT",,,"+254 716 957062",,"false",,,,"",,,"Open Now",,,"25929656","Eldoret-Nakuru highway, Eldoret 30100 Kenya","Infinity Tavern",,"0","https://www.tripadvisor.com/Restaurant_Review-g681265-d25929656-Reviews-Infinity_Tavern-Eldoret_Rift_Valley_Province.html",,"681265","Eldoret","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","Breakfast","Lunch","Dinner",,,,"0","0","0","0","0","false","restaurant"
