"rankingString","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","image","photoCount","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","menuWebUrl","openNowText","website","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","neighborhoodLocations/0/id","neighborhoodLocations/0/name","localName","rawRanking","establishmentTypes/0","establishmentTypes/1","priceLevel","phone","type","numberOfReviews","isClosed","subcategories/0","description","locationString","isLongClosed","localAddress","category","id","email","rankingPosition","rankingDenominator","name","rating","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","priceRange","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","address","webUrl","latitude","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22"
"#386 of 1,048 places to eat in Nairobi","Bar","Pub","Gastropub","European",,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/69/d8/39/the-curragh-irish-pub.jpg","10",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Closed Now","http://thecurraghnairobi.com/","2","2","6","7","7","Nairobi","Kenya",,,"Ngong Racecourse","Off Ngong Road",,,"","3.094963312149048","Restaurants",,"$$ - $$$","+254 724 902068","RESTAURANT","24","false","Sit down","We are Nairobi's only Irish pub, tucked away from all the hustle and bustle of city life, in the beautiful green and leafy surrounds of Ngong Racecourse. We have a multitude of different spaces available to relax in, from our authentic Irish pub, our scenic and quiet outdoor space surrounded by ancient old trees, and we have recently opened out Moët & Chandon champagne terrace, with gorgeous views of Ngong forest and the golf club. We can be hired out for parties such as weddings, birthdays and corporate events.","Nairobi","false",,"restaurant","8532965","info@thecurraghnairobi.com","386","833","The Curragh Irish Pub and Bistro","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 741 - KES 2,965",,"Africa/Nairobi","120","0",,,,,,,,,,,"120","0",,,,,"120","0",,,,,"120","0",,,,,"120","0",,,,,"120","0",,,,,"Ngong Racecourse Off Ngong Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8532965-Reviews-The_Curragh_Irish_Pub_and_Bistro-Nairobi.html","-1.311139","36.742153","Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Accepts Visa","Reservations","Buffet","Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Digital Payments","Free Wifi","Accepts Discover","Takeout","Outdoor Seating","Accepts Credit Cards","Table Service",,,,,,,,,,,,,"Fish",,,,,,,,,,,,,,,,,,,,,,
"#384 of 1,048 places to eat in Nairobi","African",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/11/5f/79/a9/caption.jpg","13",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,"0","0","0","2","2","Nairobi","Kenya",,,"Chaka Road",,"20484493","Nairobi Central Business District","","3.0964016914367676","Restaurants",,,"+254 796 309979","RESTAURANT","4","false",,,"Nairobi","false",,"restaurant","12154668",,"384","833","Amalayi African Cuisine","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chaka Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12154668-Reviews-Amalayi_African_Cuisine-Nairobi.html","-1.29162","36.82149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#376 of 1,048 places to eat in Nairobi",,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0f/8f/9f/49/meet-friends-enjoyed.jpg","13",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,"Open Now","http://igizalounge.com/","0","0","1","1","5","Nairobi","Kenya","00200",,"Harry Thuku Road","National Theater","20484493","Nairobi Central Business District","","3.0982041358947754","Restaurants",,,"+254 705 333939","RESTAURANT","7","false",,"A creative restaurant and lounge located at the Kenya National Theatre. Historically, artist of many talents would enjoy their time between performances discussing creative ideas at the Kenya National Theatre. Igiza Lounge continues this history of sharing and exploring creativity by offering a relaxed space for theatre patrons and guests to enjoy beverages, food and music. Located inside the Kenya National Theatre, Igiza Lounge offers indoor and outdoor dining experiences, a full-service bar and comfortable sofa seating. The menu consists of a mix of Kenyan dishes, homemade pizza, vibrant cocktails, wine, spirits and local beers.","Nairobi","false",,"restaurant","12031873","info@igizalounge.com","376","833","Igiza Lounge","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"Harry Thuku Road National Theater, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12031873-Reviews-Igiza_Lounge-Nairobi.html","-1.27793","36.81545","Late Night","Drinks","Lunch","Dinner",,,"Late Night","Drinks","Lunch","Dinner",,,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#8 of 29 places to eat in Karen","African","Barbecue",,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/9b/28/a0/mbuzi-munch-is-a-goat.jpg","20",,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,"Closed Now","https://www.facebook.com/mbuzimunch/?ref=bookmarks","1","1","0","2","7","Karen","Kenya",,,"Langata Road","Galleria Mall",,,"","3.1198832988739014","Restaurants",,"$$ - $$$","+254 794 587187","RESTAURANT","11","false","Sit down","Mbuzi Munch is a goat ""Nyama Choma"" restaurant. Nyama Choma is Swahili for grilled meat and the National Dish of Kenya. Our goat is organically raised and grass fed goat, well hung and bespoke marinated in our secret sauce before being slowly barbequed on our smoke and dust free lava grill. A range of non-goat burgers, wraps, quesadillas etc. also available. Don't leave Kenya without having tried us!","Karen, Nairobi","false",,"restaurant","19866300","galleria@mbuzimunch.com","8","22","Mbuzi Munch Galleria","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 29,647 - KES 296,472",,"Africa/Nairobi","1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"Langata Road Galleria Mall, Karen, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g12559418-d19866300-Reviews-Mbuzi_Munch_Galleria-Karen_Nairobi.html","-1.342628","36.767204","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Breakfast","Lunch","Dinner","Brunch","Drinks",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#378 of 1,048 places to eat in Nairobi","Bar",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0b/44/14/7d/img-20160513-184435-largejpg.jpg","8",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.mercurylounge.co.ke/","10","5","13","21","17","Nairobi","Kenya","",,"ABC Plaza","Lavington",,,"","3.097243070602417","Restaurants",,"$$ - $$$","+254 20 4451875","RESTAURANT","66","false","Sit down",,"Nairobi","false",,"restaurant","1226686",,"378","832","Mercury Lounge","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ABC Plaza Lavington, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1226686-Reviews-Mercury_Lounge-Nairobi.html","-1.18263","36.90089","Dinner","Late Night","Drinks",,,,"Dinner","Late Night","Drinks",,,,"Seating","Full Bar","Reservations","Outdoor Seating","Serves Alcohol","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,"Wings",,,,,,,,,,,,,,,,,,,,,,
"#374 of 1,048 places to eat in Nairobi","French",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/13/aa/b3/b0/beautiful-cozy-franch.jpg","8",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"https://www.facebook.com/frenchlabelleepoquerestau/","0","0","1","0","5","Nairobi","Kenya","14883",,"Monrovia/Loita Street","Alliance Française de Nairobi","20484493","Nairobi Central Business District","","3.098482608795166","Restaurants",,"$$ - $$$","+254 746 440550","RESTAURANT","6","false",,,"Nairobi","false",,"restaurant","13455567",,"374","833","La Belle Epoque","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monrovia/Loita Street Alliance Française de Nairobi, Nairobi 14883 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13455567-Reviews-La_Belle_Epoque-Nairobi.html","-1.28277","36.8164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#375 of 1,048 places to eat in Nairobi","European","Cafe","Vegetarian Friendly",,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/73/35/f8/photo1jpg.jpg","45",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://www.artcaffe.co.ke/menu/",,"http://www.artcaffe.co.ke/","12","7","9","31","20","Nairobi","Kenya",,,"Oval Branch",,,,"","3.0982489585876465","Restaurants",,"$$ - $$$","+254 717 193895","RESTAURANT","79","false","Café",,"Nairobi","false",,"restaurant","7930429",,"375","833","Artcaffe Coffee & Bakery","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oval Branch, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7930429-Reviews-Artcaffe_Coffee_Bakery-Nairobi.html","-1.258734","36.805504","Breakfast","Lunch","Dinner",,,,"Breakfast","Lunch","Dinner",,,,"Outdoor Seating","Seating","Serves Alcohol","Free Wifi","Takeout","Reservations","Parking Available","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,"Pasta","Burger","Salad","Pesto",,,,,,,,,,,,,,,,,,,
"#373 of 1,048 places to eat in Nairobi","International",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-w/1a/7c/f5/99/tembo-food.jpg","9",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,"1","1","4","3","9","Nairobi","Kenya",,,"The Boma Hotel","Red Cross Road, South C",,,"","3.0987870693206787","Restaurants",,"$$ - $$$",,"RESTAURANT","18","false","Sit down",,"Nairobi","false",,"restaurant","4117105",,"373","833","Tembo Street","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Boma Hotel Red Cross Road, South C, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d4117105-Reviews-Tembo_Street-Nairobi.html","-1.32283","36.8336","Dinner",,,,,,"Dinner",,,,,,"Reservations","Seating","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#381 of 1,048 places to eat in Nairobi","Indian","Asian",,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/13/04/31/86/mocktail.jpg","7",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"http://veggplanet.com/menu/",,"http://veggplanet.com/","0","2","4","2","6","Nairobi","Kenya",,,"65 Muthithi Road","Hotel Golden Tulip",,,"","3.097043752670288","Restaurants",,"$$ - $$$","+254 792 663233","RESTAURANT","14","false",,,"Nairobi","false",,"restaurant","12872182",,"381","833","Vegetarian Planet","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65 Muthithi Road Hotel Golden Tulip, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12872182-Reviews-Vegetarian_Planet-Nairobi.html","-1.26804","36.80908","Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Reservations","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#3 of 8 places to eat in Lavington","Italian",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/12/65/fc/48/photo0jpg.jpg","9",,"15517142","Lavington","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,"0","0","0","2","4","Lavington","Kenya",,,"Ground Floor, Lavington Mall",,,,"","3.103875160217285","Restaurants",,"$$ - $$$","+254 743 144990","RESTAURANT","6","false",,,"Lavington, Nairobi","false",,"restaurant","13837119",,"3","6","Pizzeria Il Portico","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ground Floor, Lavington Mall, Lavington, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g15517142-d13837119-Reviews-Pizzeria_Il_Portico-Lavington_Nairobi.html","-1.280158","36.770065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#378 of 1,048 places to eat in Nairobi",,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0e/a8/52/9e/20170308-202643-largejpg.jpg","11",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.fairmont.com","0","0","1","3","3","Nairobi","Kenya",,,"Harry Thuku Road","Fairmont The Norfolk","20484493","Nairobi Central Business District","","3.0974385738372803","Restaurants",,"$$ - $$$","+254 20 2265000","RESTAURANT","7","false","Sit down",,"Nairobi","false",,"restaurant","8708749","kenya.reservations@fairmont.com","378","833","Cin Cin Bar","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 1,482 - KES 7,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Thuku Road Fairmont The Norfolk, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8708749-Reviews-Cin_Cin_Bar-Nairobi.html","-1.27794","36.81546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#366 of 1,048 places to eat in Nairobi","Chinese","Asian","Vegetarian Friendly",,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/1a/08/60/69/real-chinese-food-at.jpg","1",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://fangfang.co.ke","3","1","5","13","4","Nairobi","Kenya","00100",,"James Gichuru Road","Lavington",,,"","3.1031038761138916","Restaurants",,"$$ - $$$","+254 733 525530","RESTAURANT","26","false",,,"Nairobi","false",,"restaurant","8510888",,"366","832","Fang -Fang Chinese Restaurant","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"James Gichuru Road Lavington, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d8510888-Reviews-Fang_Fang_Chinese_Restaurant-Nairobi.html","-1.27015","36.77531","Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Reservations","Seating","Takeout","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#369 of 1,048 places to eat in Nairobi","African","Bar","Grill","Pub","Vegetarian Friendly",,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/07/14/0d/d7/valencia-garden.jpg","11",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"http://www.sanvalencia.com/valenciagardens/","0","2","6","8","4","Nairobi","Kenya","00100",,"Riara Road","Inside the Kenya Nairobi Museum",,,"","3.1005468368530273","Restaurants","Bars & Pubs","$$ - $$$","+254 710 600925","RESTAURANT","20","false","Sit down","Located in the leafy suburbs of Lavington on Riara Road of Kinga'ra Road, Valencia Gardens, the flagship of the Group is fronted by the Victorian style main restaurant building with two dinning areas large enough to hold private parties and an annexe for total privacy. Upstairs are two lounges which guarantee total privacy. They are tastily furnished and equipped with flat screen television sets. A waiter at hand provides tailor made services and trained to spoil one with choice. The boardroom with a balcony offers a bird-eye view of the expansive lush green garden surrounded by century-old trees and variety of well tended flower beds. Designed at two teir levels, the gardens is ideal for family dinning, social functions such as corporate parties and weddings. The picture is not complete without the welcoming terrace bar with an L shaped counter. It is stocked with every conceivable brands of alcoholic and non alcoholic beverages. The coffee shops offers mouth watering pastry and bitings. The menu varies between ala carte and buffet on order and nothing can beat the Choma Ranch.","Nairobi","false",,"restaurant","4101759","info@sanvalencia.com","369","833","Valencia Gardens","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riara Road Inside the Kenya Nairobi Museum, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d4101759-Reviews-Valencia_Gardens-Nairobi.html","-1.29801","36.76505","Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Seating","Reservations","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#370 of 1,048 places to eat in Nairobi","Steakhouse",,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-w/17/83/d1/fa/logo.jpg","52",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://www.spursteakranches.com/ke/article/menu?utm_source=Tripadvisor&utm_medium=menu_link&utm_campaign=SP&utm_content=SP","Closed Now","http://www.spursteakranches.com/ke?utm_source=Tripadvisor&utm_medium=website_link&utm_campaign=SP&utm_content=SP","1","1","4","3","6","Nairobi","Kenya","00600",,"Shop B1, 13 Dagoretti Road, Karen Hub","The Hub Karen",,,"","3.1002607345581055","Restaurants",,"$$ - $$$","0702555000","RESTAURANT","15","false",,"Spur serves its famous flame-grilled burgers and steaks, fresh salads and decadent desserts to families from all over the world. As a distinctly family-orientated band, we offer an environment where the whole “tribe” can come relax and enjoy themselves. This is the way it has always been at Spur and the reason why we have found a special place in the hearts of our customer over several generations!","Nairobi","false",,"restaurant","10804717","Spur@optiven.co.ke","370","833","Eagle Peak Spur","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"1260","540",,,,,"Shop B1, 13 Dagoretti Road, Karen Hub The Hub Karen, Nairobi 00600 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d10804717-Reviews-Eagle_Peak_Spur-Nairobi.html","-1.320317","36.70385","Lunch","Dinner","Breakfast",,,,"Lunch","Dinner","Breakfast",,,,"Reservations","Seating","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ribs",,,,,,,,,,,,,,,,,,,,,,
"#371 of 1,048 places to eat in Nairobi","Bar","Pub",,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/ba/3a/6b/photo0jpg.jpg","1",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,"https://sina-shaka-by-bateleur-brewery.business.site/?utm_source=gmb&utm_medium=referral","0","0","0","3","2","Nairobi","Kenya","15808",,"Limuru Road","Village Market","20484492","Highridge","","3.0998482704162598","Restaurants",,,"+254 799 447252","RESTAURANT","5","false",,,"Nairobi","false",,"restaurant","17782815",,"371","833","Sina Shaka Bateleur Brewery","4.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limuru Road Village Market, Nairobi 15808 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d17782815-Reviews-Sina_Shaka_Bateleur_Brewery-Nairobi.html","-1.23505","36.80421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#368 of 1,048 places to eat in Nairobi","Italian","Northern-Italian","Central-Italian","Southern-Italian",,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/1e/88/76/4f/cover-photo.jpg","70",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"https://lacasadinicoristorante.com/menu/","Closed Now","http://lacasadinicoristorante.com","0","2","0","1","5","Nairobi","Kenya","00200",,"Village Market Mall Gigiri","East wing First floor","20484492","Highridge","","3.1019582748413086","Restaurants",,"$$$$","+254 796 857990","RESTAURANT","8","false","Sit down","Lacasadinico Ristorante is a state of the art simply decorated restaurant. A local kenyan italian favorite for 5+ years. Featuring our famous Antipasto italiano with salami cheese and our well known wood oven pizza. Enjoy our homemade, delicious Italian dishes, featuring seafood, steaks, and pasta. We provide to you our Full menu offered all day and late night. Complemented with a bar of entertainment on weekends and Fridays. Cast parties and celebs with your loved ones here every single day. Conveniently located on Limuru road, Village Market ,left wing First floor.","Nairobi","false",,"restaurant","23642043","lacasadinicorestorante@gmail.com","368","833","La Casa Di Nico Ristorante","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KES 2,224 - KES 44,471",,"Africa/Nairobi","1350","600",,,,,"1350","600",,,,,"1350","600",,,,,"1350","600",,,,,"1350","600",,,,,"1350","600",,,,,"1350","600",,,,,"Village Market Mall Gigiri East wing First floor, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23642043-Reviews-La_Casa_Di_Nico_Ristorante-Nairobi.html","-1.228776","36.805183","Breakfast","Lunch","Dinner","Late Night","Drinks",,"Breakfast","Lunch","Dinner","Late Night","Drinks",,"Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Validated Parking","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Cash Only","Free Wifi","Accepts Credit Cards","Table Service","Live Music","Jazz Bar","Drive Thru","Family style","Sports bars","Gift Cards Available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
