cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7,cuisines/8,cuisines/9,cuisines/10,cuisines/11,cuisines/12,cuisines/13,cuisines/14,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,dishes/6,dishes/7,dishes/8,dishes/9,dishes/10,dishes/11,dishes/12,dishes/13,dishes/14,dishes/15,dishes/16,dishes/17,dishes/18,dishes/19,dishes/20,dishes/21,dishes/22,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,features/18,features/19,features/20,features/21,features/22,features/23,features/24,features/25,features/26,features/27,features/28,features/29,ownersTopReasons,ownersTopReasons/sectionHeader,ownersTopReasons/sponsoredBy,ownersTopReasons/topReasons/0/header,ownersTopReasons/topReasons/0/image_url,ownersTopReasons/topReasons/0/isSearchTerm,ownersTopReasons/topReasons/0/keyword,ownersTopReasons/topReasons/0/linkText,ownersTopReasons/topReasons/0/rank,ownersTopReasons/topReasons/0/review,ownersTopReasons/topReasons/0/review/rating,ownersTopReasons/topReasons/0/review/reviewId,ownersTopReasons/topReasons/0/review/screenName,ownersTopReasons/topReasons/0/text,ownersTopReasons/topReasons/1/header,ownersTopReasons/topReasons/1/image_url,ownersTopReasons/topReasons/1/isSearchTerm,ownersTopReasons/topReasons/1/keyword,ownersTopReasons/topReasons/1/linkText,ownersTopReasons/topReasons/1/rank,ownersTopReasons/topReasons/1/review,ownersTopReasons/topReasons/1/review/rating,ownersTopReasons/topReasons/1/review/reviewId,ownersTopReasons/topReasons/1/review/screenName,ownersTopReasons/topReasons/1/text,ownersTopReasons/topReasons/2/header,ownersTopReasons/topReasons/2/image_url,ownersTopReasons/topReasons/2/isSearchTerm,ownersTopReasons/topReasons/2/keyword,ownersTopReasons/topReasons/2/linkText,ownersTopReasons/topReasons/2/rank,ownersTopReasons/topReasons/2/review,ownersTopReasons/topReasons/2/review/rating,ownersTopReasons/topReasons/2/review/reviewId,ownersTopReasons/topReasons/2/review/screenName,ownersTopReasons/topReasons/2/text,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/open,hours/weekRanges/0/1/close,hours/weekRanges/0/1/open,hours/weekRanges/0/2/close,hours/weekRanges/0/2/open,hours/weekRanges/1/0/close,hours/weekRanges/1/0/open,hours/weekRanges/1/1/close,hours/weekRanges/1/1/open,hours/weekRanges/1/2/close,hours/weekRanges/1/2/open,hours/weekRanges/2/0/close,hours/weekRanges/2/0/open,hours/weekRanges/2/1/close,hours/weekRanges/2/1/open,hours/weekRanges/2/2/close,hours/weekRanges/2/2/open,hours/weekRanges/3/0/close,hours/weekRanges/3/0/open,hours/weekRanges/3/1/close,hours/weekRanges/3/1/open,hours/weekRanges/3/2/close,hours/weekRanges/3/2/open,hours/weekRanges/4/0/close,hours/weekRanges/4/0/open,hours/weekRanges/4/1/close,hours/weekRanges/4/1/open,hours/weekRanges/4/2/close,hours/weekRanges/4/2/open,hours/weekRanges/5/0/close,hours/weekRanges/5/0/open,hours/weekRanges/5/1/close,hours/weekRanges/5/1/open,hours/weekRanges/5/2/close,hours/weekRanges/5/2/open,hours/weekRanges/6/0/close,hours/weekRanges/6/0/open,hours/weekRanges/6/1/close,hours/weekRanges/6/1/open,hours/weekRanges/6/2/close,hours/weekRanges/6/2/open,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,mealTypes/5,longitude,category,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,rankingDenominator,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,establishmentTypes/0,establishmentTypes/1,neighborhoodLocations/0/id,neighborhoodLocations/0/name,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,latitude,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,dietaryRestrictions/5,address,photoCount,rankingString,phone,localName,rawRanking,rankingPosition,openNowText,name,website,subcategories/0,description,priceRange,type,webUrl,email,rating,localAddress,image,menuWebUrl,numberOfReviews,isClosed,isLongClosed,locationString,id,priceLevel
Cafe,Vegetarian Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takeout,Seating,Wheelchair Accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1230,390,,,,,1230,360,,,,,1230,390,,,,,1230,360,,,,,,,,,,,,,,,,,1230,360,,,,,Breakfast,Lunch,Dinner,,,,36.803104,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,"Peponi Road, Mwanzi Rd",,Coffee & Tea,,,,2,0,7,12,18,-1.257297,Breakfast,Lunch,Dinner,,,,"Peponi Road, Mwanzi Rd, Nairobi Kenya",18,"#193 of 1,048 places to eat in Nairobi",+254 20 2540299,,3.239643097,193,Closed Now,Dormans Westgate,,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3341435-Reviews-Dormans_Westgate-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/0f/83/7f/a6/caption.jpg,,39,FALSE,FALSE,Nairobi,3341435,$$ - $$$
Chinese,Asian,,,,,,,,,,,,,,Noodle,Dumplings,Beef,,,,,,,,,,,,,,,,,,,,,Takeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78498,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Argwings Kodhek Rd,,Restaurants,,,,0,0,1,6,4,-1.2923,,,,,,,"Argwings Kodhek Rd, Nairobi Kenya",12,"#267 of 1,048 places to eat in Nairobi",+254 707 383808,,3.161134958,267,,Silk Noodles,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d14176227-Reviews-Silk_Noodles-Nairobi.html,,4.5,,https://media-cdn.tripadvisor.com/media/photo-w/16/77/3b/17/silk-noodles.jpg,,11,FALSE,FALSE,Nairobi,14176227,
African,Ethiopian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seating,Reservations,Outdoor Seating,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,,,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,1380,540,,,,,,,,,,,Dinner,Breakfast,Lunch,,,,36.77926,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Elgeyo Marakwet Road,Kilimani,Restaurants,,,,0,1,1,10,7,-1.29608,Dinner,Breakfast,Lunch,,,,"Elgeyo Marakwet Road Kilimani, Nairobi Kenya",7,"#294 of 1,048 places to eat in Nairobi",+254 20 3862440,,3.13714695,294,Closes in 30 min,The Smart Village,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d2640931-Reviews-The_Smart_Village-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/0c/46/f8/d9/new-smart-village-located.jpg,,19,FALSE,FALSE,Nairobi,2640931,$$ - $$$
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinner,,,,,,36.81741,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,600,,"Upper Hill, Off Matumbato Road",,Restaurants,,,,0,3,1,2,1,-1.3028,Dinner,,,,,,"Upper Hill, Off Matumbato Road, Nairobi 00600 Kenya",0,"#766 of 1,048 places to eat in Nairobi",,,2.986626148,766,,La Bonne Bouche,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d4892088-Reviews-La_Bonne_Bouche-Nairobi.html,,3,,,,7,FALSE,FALSE,Nairobi,4892088,
African,Contemporary,Ethiopian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Seating,Street Parking,Television,Serves Alcohol,Free Wifi,Accepts Credit Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,660,,,,,1380,660,,,,,1380,660,,,,,1380,660,,,,,1380,660,,,,,1380,660,,,,,1380,660,,,,,Lunch,Dinner,Brunch,Late Night,Drinks,,36.81606,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Uhuru Highway,Utalii House Ground Floor.,Restaurants,,20484493,Nairobi Central Business District,0,0,0,2,6,-1.283475,Lunch,Dinner,Brunch,Late Night,Drinks,,"Uhuru Highway Utalii House Ground Floor., Nairobi 00100 Kenya",24,"#293 of 1,048 places to eat in Nairobi",+254 796 104111,,3.137676001,293,Closes in 30 min,Rue 104 Lounge & Restaurant,https://www.facebook.com/Rue104Kenya/,Sit down,Ethiopian food is about friendship and bonding and that’s what we are all about. We also have lots of continental meals to choose from and a drinks list to match. We are located in the Central Business District which very easy to locate and there’s lots of parking in the street. Come through for a memorable culinary experience.,"KES 296 - KES 3,706",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d13349812-Reviews-Rue_104_Lounge_Restaurant-Nairobi.html,rue104lounge@gmail.com,5,,https://media-cdn.tripadvisor.com/media/photo-o/11/d0/aa/a1/great-place-in-the-nairobi.jpg,,8,FALSE,FALSE,Nairobi,13349812,$$ - $$$
African,Bar,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,Seating,Outdoor Seating,Serves Alcohol,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunch,Dinner,,,,,36.81566,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Elgon Road,Upper Hill,Restaurants,,,,9,1,9,14,6,-1.30215,Lunch,Dinner,,,,,"Elgon Road Upper Hill, Nairobi Kenya",23,"#623 of 1,048 places to eat in Nairobi",+254 733 555290,,3.029751539,623,,Bonds Garden Restaurant,http://www.bondsgarden.com,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d2339643-Reviews-Bonds_Garden_Restaurant-Nairobi.html,,3,,https://media-cdn.tripadvisor.com/media/photo-o/0b/68/12/3a/photo0jpg.jpg,,39,FALSE,FALSE,Nairobi,2339643,$$ - $$$
Arabic,Vegetarian Friendly,Halal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seating,Reservations,Outdoor Seating,Wheelchair Accessible,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunch,Dinner,,,,,36.81548,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,Kilimanjaro Avenue Upper Hill,opposite Crowne Plaza Hotel,Restaurants,,,,2,1,5,12,10,-1.30055,Lunch,Dinner,,,,,"Kilimanjaro Avenue Upper Hill opposite Crowne Plaza Hotel, Nairobi Kenya",9,"#229 of 1,048 places to eat in Nairobi",+254 722 720697,,3.194000483,229,,The Arabian Cuisine,,Sit down,"This is a lovely new restaurant where my son's wedding was held. i know it will be popular with locals/travelers if it gets the publicity it deserves. the prices were very reasonable and the ambiance was A*******. i have a few nice photos available. thank you. btw i'd say the cuisine was arabian :) rather than african, but you didn't have that in the drop down list.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d1999926-Reviews-The_Arabian_Cuisine-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/22/30/7a/f9/i-can-eat-here-during.jpg,,30,FALSE,FALSE,Nairobi,1999926,$$ - $$$
Cafe,International,Wine Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Outdoor Seating,Private Dining,Seating,Parking Available,Television,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Wine and Beer,Accepts American Express,Accepts Mastercard,Accepts Visa,Digital Payments,Free Wifi,Accepts Credit Cards,Jazz Bar,Gift Cards Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1380,420,,,,,1380,420,,,,,1380,420,,,,,1380,420,,,,,1380,420,,,,,1380,420,,,,,1380,420,,,,,Breakfast,Lunch,Dinner,Brunch,Late Night,Drinks,36.80912,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,502,,Muthithi Road,Romo House Africa,Restaurants,,,,0,0,0,0,1,-1.268086,Breakfast,Lunch,Dinner,Brunch,Late Night,Drinks,"Muthithi Road Romo House Africa, Nairobi 00502 Kenya",8,"#551 of 1,048 places to eat in Nairobi",+254 726 232323,,3.04458046,551,Closes in 30 min,Romo House Restaurant and Lounge,http://www.romohouseafrica.com,,"Discover Romo, an enchanting restaurant and lounge located in Westlands. Inspired by romance and modern charm, we offer a unique dining experience that blends delightful flavors. Indulge in our casual yet sophisticated ambiance, perfect for creating unforgettable moments. Our culinary team skillfully crafts a fusion of international and local flavors, ensuring a remarkable culinary journey from breakfast to dinner. Convenience and security are guaranteed with ample parking space available for over 50 cars. At Romo, we take pride in being part of the local community. We host events that celebrate talented artists, musicians, and cultural initiatives, creating a vibrant and inclusive atmosphere. Visit us at the Capital M Building on Muthithi Road, for an unforgettable dining experience where romance and modernism come together.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d26251066-Reviews-Romo_House_Restaurant_and_Lounge-Nairobi.html,info@romohouse.co.ke,5,,https://media-cdn.tripadvisor.com/media/photo-w/29/a4/79/b0/welcome-to-romo.jpg,http://www.romohouseafrica.com/menu,1,FALSE,FALSE,Nairobi,26251066,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1200,600,,,,,1260,540,,,,,1260,540,,,,,1260,540,,,,,1260,540,,,,,1260,540,,,,,1260,540,,,,,Breakfast,Lunch,Dinner,,,,36.81158,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,Menengai Rd,,Restaurants,,,,0,1,1,0,3,-1.30023,Breakfast,Lunch,Dinner,,,,"Menengai Rd, Nairobi Kenya",8,"#535 of 1,048 places to eat in Nairobi",,,3.046954393,535,Closed Now,K Food Palace,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d6368814-Reviews-K_Food_Palace-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/05/6f/4b/cc/k-food-palace.jpg,,5,FALSE,FALSE,Nairobi,6368814,
African,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,Seating,Outdoor Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1200,480,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,1320,420,,,,,Dinner,Breakfast,Lunch,,,,36.822422,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,5 Kaunda Street,,Restaurants,,20484493,Nairobi Central Business District,0,0,7,17,8,-1.285283,Dinner,Breakfast,Lunch,,,,"5 Kaunda Street, Nairobi Kenya",14,"#225 of 1,048 places to eat in Nairobi",,,3.1967628,225,Closed Now,Hamdi,http://www.hamdi.co.ke,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d2278665-Reviews-Hamdi-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/06/c0/97/f8/le-plan-specialise-de.jpg,http://www.hamdi.co.ke#menu,32,FALSE,FALSE,Nairobi,2278665,$$ - $$$
Indian,Fast Food,Asian,Vegetarian Friendly,Vegan Options,Halal,,,,,,,,,,Ice Cream,Juice & Smoothies,,,,,,,,,,,,,,,,,,,,,,Takeout,Seating,Parking Available,Wheelchair Accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunch,Dinner,,,,,36.818348,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,,,Quick Bites,,,,12,11,34,40,26,-1.257811,Lunch,Dinner,,,,,Nairobi Kenya,11,"#275 of 1,048 places to eat in Nairobi",,,3.151994705,275,,Diamond Plaza food court,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d780387-Reviews-Diamond_Plaza_food_court-Nairobi.html,,3.5,,https://media-cdn.tripadvisor.com/media/photo-s/03/10/3d/5f/chowpatty-restaurant.jpg,,123,FALSE,FALSE,Nairobi,780387,$
Indian,Fast Food,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Outdoor Seating,Seating,Parking Available,Television,Wheelchair Accessible,Digital Payments,Free Wifi,Reservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1320,660,,,,,1320,660,,,,,1320,660,,,,,1320,660,,,,,1320,660,,,,,1320,660,,,,,1320,660,,,,,Brunch,Late Night,Lunch,Dinner,,,36.844112,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,506,,"Nextgen Mall, Mombasa Road",,Restaurants,,,,0,0,2,3,4,-1.323648,Brunch,Late Night,Lunch,Dinner,,,"Nextgen Mall, Mombasa Road, Nairobi 00506 Kenya",3,"#345 of 1,048 places to eat in Nairobi",+254 705 867682,,3.111773491,345,Closed Now,Peppercorn Restaurant,http://www.peppercornkenya.com,Sit down,"An authentic taste of India with only the best ingredients, creating flavors that will you wanting for more. Our chefs are handpicked from the best establishments in India to give you a culinary rollercoaster.","KES 741 - KES 2,075",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d12276674-Reviews-Peppercorn_Restaurant-Nairobi.html,info@peppercornkenya.com,4,,https://media-cdn.tripadvisor.com/media/photo-o/12/f8/df/79/authentic-indian-cuisine.jpg,http://peppercornkenya.com/wp-content/uploads/2018/02/Peppercorn-Restaurant-Menu-2018.pdf,9,FALSE,FALSE,Nairobi,12276674,$
Indian,Fast Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seating,Accepts Credit Cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunch,Dinner,,,,,36.80436,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,Parklands Road,Corner Plaza,Restaurants,,,,1,1,3,7,5,-1.262311,Lunch,Dinner,,,,,"Parklands Road Corner Plaza, Nairobi Kenya",10,"#343 of 1,048 places to eat in Nairobi",+254 739 325423,,3.112256765,343,,Slush Coffee World,http://www.facebook.com/SlushCoffeeWorld/,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d13487523-Reviews-Slush_Coffee_World-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/17/cf/c5/6a/20190517-212946-largejpg.jpg,,17,FALSE,FALSE,Nairobi,13487523,$
African,Bar,Grill,Pub,Vegetarian Friendly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seating,Reservations,Wheelchair Accessible,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lunch,Dinner,,,,,36.76505,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,100,,Riara Road,Inside the Kenya Nairobi Museum,Restaurants,Bars & Pubs,,,0,2,6,8,4,-1.29801,Lunch,Dinner,,,,,"Riara Road Inside the Kenya Nairobi Museum, Nairobi 00100 Kenya",11,"#369 of 1,048 places to eat in Nairobi",+254 710 600925,,3.100546837,369,,Valencia Gardens,http://www.sanvalencia.com/valenciagardens/,Sit down,"Located in the leafy suburbs of Lavington on Riara Road of Kinga'ra Road, Valencia Gardens, the flagship of the Group is fronted by the Victorian style main restaurant building with two dinning areas large enough to hold private parties and an annexe for total privacy. Upstairs are two lounges which guarantee total privacy. They are tastily furnished and equipped with flat screen television sets. A waiter at hand provides tailor made services and trained to spoil one with choice. The boardroom with a balcony offers a bird-eye view of the expansive lush green garden surrounded by century-old trees and variety of well tended flower beds. Designed at two teir levels, the gardens is ideal for family dinning, social functions such as corporate parties and weddings. The picture is not complete without the welcoming terrace bar with an L shaped counter. It is stocked with every conceivable brands of alcoholic and non alcoholic beverages. The coffee shops offers mouth watering pastry and bitings. The menu varies between ala carte and buffet on order and nothing can beat the Choma Ranch.",,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d4101759-Reviews-Valencia_Gardens-Nairobi.html,info@sanvalencia.com,3.5,,https://media-cdn.tripadvisor.com/media/photo-o/07/14/0d/d7/valencia-garden.jpg,,20,FALSE,FALSE,Nairobi,4101759,$$ - $$$
Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.80874,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,833,Nairobi,Kenya,,,"Kenrail Towers, Westlands Rd",,Restaurants,,,,2,2,2,3,1,-1.26944,,,,,,,"Kenrail Towers, Westlands Rd, Nairobi Kenya",2,"#765 of 1,048 places to eat in Nairobi",+254 706 567567,,2.992084742,765,,Mr. Yao,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d19141167-Reviews-Mr_Yao-Nairobi.html,,3,,https://media-cdn.tripadvisor.com/media/photo-o/1c/2d/47/14/img-20201014-wa0054-largejpg.jpg,,10,FALSE,FALSE,Nairobi,19141167,$$ - $$$
Italian,Northern-Italian,Central-Italian,Southern-Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delivery,Takeout,Reservations,Outdoor Seating,Private Dining,Seating,Parking Available,Validated Parking,Television,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Wine and Beer,Digital Payments,Cash Only,Free Wifi,Accepts Credit Cards,Table Service,Live Music,Jazz Bar,Drive Thru,Family style,Sports bars,Gift Cards Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1350,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,1350,600,,,,,Breakfast,Lunch,Dinner,Late Night,Drinks,,36.805183,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,200,,Village Market Mall Gigiri,East wing First floor,Restaurants,,20484492,Highridge,0,2,0,1,5,-1.228776,Breakfast,Lunch,Dinner,Late Night,Drinks,,"Village Market Mall Gigiri East wing First floor, Nairobi 00200 Kenya",70,"#367 of 1,048 places to eat in Nairobi",+254 796 857990,,3.101985931,367,Closed Now,La Casa Di Nico Ristorante,http://lacasadinicoristorante.com,Sit down,"Lacasadinico Ristorante is a state of the art simply decorated restaurant. A local kenyan italian favorite for 5+ years. Featuring our famous Antipasto italiano with salami cheese and our well known wood oven pizza. Enjoy our homemade, delicious Italian dishes, featuring seafood, steaks, and pasta. We provide to you our Full menu offered all day and late night. Complemented with a bar of entertainment on weekends and Fridays. Cast parties and celebs with your loved ones here every single day. Conveniently located on Limuru road, Village Market ,left wing First floor.","KES 2,224 - KES 44,471",RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d23642043-Reviews-La_Casa_Di_Nico_Ristorante-Nairobi.html,lacasadinicorestorante@gmail.com,4,,https://media-cdn.tripadvisor.com/media/photo-o/1e/88/76/4f/cover-photo.jpg,https://lacasadinicoristorante.com/menu/,8,FALSE,FALSE,Nairobi,23642043,$$$$
Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Africa/Nairobi,1230,690,,,,,1080,570,,,,,1080,570,,,,,1080,570,,,,,1080,570,,,,,1080,570,,,,,1230,570,,,,,Lunch,Dinner,,,,,36.81794,restaurant,,294207,Nairobi,Municipality,,294206,Kenya,Country,,,,,832,Nairobi,Kenya,,,"Shivachi Road, Parklands",M.P.Shah Hospital Doctor's Plaza,Restaurants,,,,1,0,1,3,5,-1.25989,Lunch,Dinner,,,,,"Shivachi Road, Parklands M.P.Shah Hospital Doctor's Plaza, Nairobi Kenya",1,"#417 of 1,048 places to eat in Nairobi",+254 733 768443,,3.081168175,417,Closed Now,Riya's Delicious Corner,https://www.facebook.com/pages/Riyas-Delicious-Corner,Sit down,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g294207-d3836208-Reviews-Riya_s_Delicious_Corner-Nairobi.html,,4,,https://media-cdn.tripadvisor.com/media/photo-o/0b/b1/71/8e/riya-s-delicious-corner.jpg,,10,FALSE,FALSE,Nairobi,3836208,$$ - $$$
