"dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","subcategories/0","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","rankingPosition","localName","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","openNowText","rankingString","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","priceRange","id","photoCount","address","name","menuWebUrl","webUrl","description","rawRanking","latitude","category","website","type","image","rankingDenominator","localAddress","phone","isLongClosed","isClosed","establishmentTypes/0","establishmentTypes/1","numberOfReviews","email","longitude","locationString","priceLevel","rating"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00200",,"Langata Road","Nairobi National Park","Sit down",,"Africa/Nairobi","1260","420",,,,,"1260","420","1260","420","1260","420","1260","420","1260","420",,,"American","African","Bar","Cafe","Pub","Healthy",,,"1","0","2","2","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"186","","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Delivery","Takeout","Outdoor Seating","Private Dining","Seating","Parking Available","Free off-street parking","Television","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Live Music","Playgrounds","Family style","Gift Cards Available",,,,"Closed Now","#186 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","KES 29,647 - KES 518,826","12357427","30","Langata Road Nairobi National Park, Nairobi 00200 Kenya","Wildly Coffee","https://wildlycoffee.com/menu/","https://www.tripadvisor.com/Restaurant_Review-g294207-d12357427-Reviews-Wildly_Coffee-Nairobi.html","Set in the midst of breathtaking scenery, this restaurant fuses fine dining with conservation by serving up a nature-inspired breakfast, lunch and drive menu. Wildly Coffee is located inside the Nairobi National Park in Langata and from your table, you can spot a family of warthogs roaming the nearby lawns and playful monkeys cheerfully swinging back-and-forth across the century-old trees","3.2464635372161865","-1.3343","restaurant","http://www.wildlycoffee.com","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/28/db/db/c5/hidden-gem-in-the-heart.jpg","833",,"+254 700 940728","false","false","Restaurants",,"15","wildlycoffeeke@gmail.com","36.7797","Nairobi","$$ - $$$","4.5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Mukoyeti East Road, Off Langata Road, Next to NPC South Church Karen",,,,,,,,,,,,,,,,,,,,,,,"Indian","African","Fast Food","British","Grill",,,,"0","1","0","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","13","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#13 of 29 places to eat in Karen",,,,,,,,"17340239","2","Mukoyeti East Road, Off Langata Road, Next to NPC South Church Karen, Karen, Nairobi Kenya","StedMak Gardens",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d17340239-Reviews-StedMak_Gardens-Karen_Nairobi.html",,"3.0525898933410645","-1.340896","restaurant","http://www.stedmakgardens.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/d2/93/df/caption.jpg","22",,"+254 705 734780","false","false","Restaurants",,"4",,"36.75727","Karen, Nairobi",,"4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Chaka Road","Hurlingham",,,,,,,,,,,,,,,,,,,,,,"African","Bar","Pub","International",,,,,"0","1","4","4","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"495","",,,,,,,"Wheelchair Accessible","Seating",,,,,,,,,,,,,,,,,,,,,,"#495 of 1,048 places to eat in Nairobi",,,,,,,,"8398481","0","Chaka Road Hurlingham, Nairobi Kenya","Atlantis Gardens Sports Bar Lounge and Grill",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d8398481-Reviews-Atlantis_Gardens_Sports_Bar_Lounge_and_Grill-Nairobi.html",,"3.057833671569824","-1.32902","restaurant","http://atlantisgardens.co.ke/restaurant.html","RESTAURANT",,"833",,"+775291B111","false","false","Restaurants",,"11",,"36.71274","Nairobi","$$ - $$$","3.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","",,"Langata Road","",,,,,,,,,,,,,,,,,,,,,,"African","Bar","Pub",,,,,,"4","1","11","8","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"536","",,,,,,,"Outdoor Seating","Seating","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,"#536 of 1,048 places to eat in Nairobi",,,,,,,,"1059107","6","Langata Road, Nairobi Kenya","Tamasha",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d1059107-Reviews-Tamasha-Nairobi.html",,"3.0464682579040527","-1.34254","restaurant","http://tamashajointkaren.co.ke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0f/36/18/bd/very-good-food.jpg","833",,"+254 707 433296","false","false","Restaurants",,"31",,"36.76453","Nairobi","$$ - $$$","3.5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","925",,"Ngong Road","the Junction mall","Sit down",,"Africa/Nairobi","1440","720",,,"1440","720","1440","720","1440","720","1440","720","1440","720","1440","720",,,"Indian",,,,,,,,"2","1","1","3","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"490","","Dinner","Lunch",,,,,"Reservations","Seating","Takeout","Table Service",,,,,,,,,,,,,,,,,,,"Open Now","#490 of 1,048 places to eat in Nairobi","Dinner","Lunch",,,,,,"5785848","2","Ngong Road the Junction mall, Nairobi 925 Kenya","Darbar e Tandoor Indian Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d5785848-Reviews-Darbar_e_Tandoor_Indian_Restaurant-Nairobi.html",,"3.06032657623291","-1.29788","restaurant","https://www.facebook.com/DarbarTandoor/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/06/d1/b8/75/xmas-next-door.jpg","832",,"+254 722 519833","false","false","Restaurants",,"18",,"36.76279","Nairobi","$$ - $$$","4"
"Burger","Tapas","Wings","Calamari","Beef","Lamb",,,,,,,,,,,,,,"Nairobi","Kenya","",,"Piedmont Plaza","671 Ngong Road","Sit down",,"Africa/Nairobi","1500","660",,,"1500","660","1500","660","1560","660","1560","660","1620","660","1620","660",,,"Bar","European","Pub","International",,,,,"18","9","47","185","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"59","","Lunch","Dinner","Brunch","Late Night","Drinks",,"Reservations","Outdoor Seating","Seating","Parking Available","Television","Serves Alcohol","Full Bar","Free Wifi","Live Music",,,,,,,,,,,,,,"Open Now","#59 of 1,048 places to eat in Nairobi","Lunch","Dinner","Brunch","Late Night","Drinks",,,"2269080","98","Piedmont Plaza 671 Ngong Road, Nairobi Kenya","Brew Bistro & Lounge",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d2269080-Reviews-Brew_Bistro_Lounge-Nairobi.html",,"3.7710208892822266","-1.299353","restaurant","http://thebigfivebreweries.com/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0d/7b/6b/c1/hamburguesa-nam.jpg","833",,"+254 731 006068","false","false","Restaurants",,"388",,"36.765427","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Ngong Road","Upper Ground Floor, Marsabit Plaza","Café",,"Africa/Nairobi","1335","420",,,"1320","420","1320","420","1350","420","1350","420","1350","420","1350","420",,,"Italian","Mexican","American","Steakhouse","African",,,,"0","0","0","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"493","","Breakfast","Lunch","Dinner",,,,,,,,,,,,,,,,,,,,,,,,,,"Closed Now","#493 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner",,,,"KES 59,294 - KES 222,354","13976697","3","Ngong Road Upper Ground Floor, Marsabit Plaza, Nairobi Kenya","Mugz & Brewz",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d13976697-Reviews-Mugz_Brewz-Nairobi.html","MUGZ& BREWZ Restaurant is located along ngong road at Marsabit plaza directly opposite ligi ndogo upper ground floor.Our ambiance is great ;an open kitchen which allows you to watch as your food is being prepared from the comfort of your seat , our terrace is nature inspired with wall and potted plants and the sky this will make you forget your in Nairobi city.We have pocket friendly prices!!! Our food finger licking .We have board games to keep you and your friends entertained not forgeting the children we have a kiddi menu and a trampoline to keep the children entertained.Happy hour every day from 2pm-8 pm.","3.058518886566162","-1.30822","restaurant","http://www.facebook.com/mugzandbrewzke","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/15/d3/46/b2/dsc-0002-1-largejpg.jpg","833",,"+254 795 630909","false","false","Restaurants",,"3","mugzmananger@gmail.com","36.73304","Nairobi","$","4.5"
,,,,,,,,,,,,,,,,,,,"Karen","Kenya","00254",,"Marula Lane","Karengata Park",,,"Africa/Nairobi","1260","480",,,"1260","480","1260","480","1260","480","1260","480","1260","480","1260","480",,,"Indian","African","Cafe","Diner","Middle Eastern",,,,"0","0","0","1","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","11","","Breakfast","Lunch","Dinner",,,,"Outdoor Seating","Seating","Free off-street parking","Television","Wine and Beer","Accepts Credit Cards",,,,,,,,,,,,,,,,,"Closed Now","#11 of 29 places to eat in Karen","Breakfast","Lunch","Dinner",,,,,"14156923","10","Marula Lane Karengata Park, Karen, Nairobi 00254 Kenya","Trymid Bar & Restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d14156923-Reviews-Trymid_Bar_Restaurant-Karen_Nairobi.html","Welcome (Karibu) to TRYMID. TRYMID is situated in the heart of Karen boarding Ngong forest along Marula Lane. TRYMID offers an exceptional gourmet of Continental, Indian, Swahili and Sea Food, served in the warm atmosphere of the leafy suburbs of Karen. We emphasis on Comfort, Taste, Relaxation and above all Great service. Hunters Brunch Sandwich,Trymid Biryani are a few of our special dishes you will ﬁnd on our enticing menu. Cap off your main course with our famous Maasai Coffee or indulge in a speciality Watamu caffe latte! At TRYMID we turn the ordinary into extraordinary everyday. So, stop in for a energizing breakfast, relaxing lunch or romantic dinner. “Make everyday a little more special at TRYMID.”","3.0742557048797607","-1.33812","restaurant","https://trymid-bar-restaurant.business.site/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/de/6e/f4/trymid-bar-restaurant.jpg","22",,"+254 733 222253","false","false","Restaurants",,"4","trymidkenya@gmail.com","36.706093","Karen, Nairobi","$$ - $$$","5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Silanga Rd","Hotel Rudi, Karen, Langata Rd","Sit down",,"Africa/Nairobi","2040","660",,,,,"2040","660","2040","660","2040","660","2040","660","2040","660",,,"Swiss","European",,,,,,,"2","1","0","4","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"462","","Dinner","Lunch",,,,,"Reservations","Seating","Table Service",,,,,,,,,,,,,,,,,,,,"Open Now","#462 of 1,048 places to eat in Nairobi","Dinner","Lunch",,,,,,"4263016","36","Silanga Rd Hotel Rudi, Karen, Langata Rd, Nairobi Kenya","Rudis Al-fresco",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d4263016-Reviews-Rudis_Al_fresco-Nairobi.html",,"3.068815231323242","-1.34751","restaurant","http://www.hotelrudi.com/rudis-dining/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/06/da/57/5a/020jpg.jpg","833",,"+254 20 2610903","false","false","Restaurants",,"13","info@hotelrudi.com","36.7445","Nairobi","$$$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00208",,"Fair Acres Rd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"443","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#443 of 1,048 places to eat in Nairobi",,,,,,,,"24859932","0","Fair Acres Rd, Nairobi 00208 Kenya","Restaurant at Fair Acres Boutique Hotel",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d24859932-Reviews-Restaurant_at_Fair_Acres_Boutique_Hotel-Nairobi.html",,"3.0740861892700195","-1.340738","restaurant","https://www.fairacres-nairobi.co.ke/dining/","RESTAURANT",,"833",,"+254 727 729202","false","false","Restaurants",,"3","reservations@fairacres-nairobi.co.ke","36.737133","Nairobi",,"5"
"Burger","Salad",,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Dagoretti Road","The Hub Shopping Mall",,,,,,,,,,,,,,,,,,,,,,"Cafe","Vegetarian Friendly","Vegan Options",,,,,,"3","1","13","45","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","4","","Breakfast","Lunch","Brunch","Dinner",,,"Takeout","Reservations","Seating","Serves Alcohol","Table Service",,,,,,,,,,,,,,,,,,,"#4 of 29 places to eat in Karen","Breakfast","Lunch","Brunch","Dinner",,,,"13784633","41","Dagoretti Road The Hub Shopping Mall, Karen, Nairobi Kenya","Artcaffe","https://www.artcaffe.co.ke/menu/","https://www.tripadvisor.com/Restaurant_Review-g12559418-d13784633-Reviews-Artcaffe-Karen_Nairobi.html",,"3.5947744846343994","-1.319581","restaurant","https://www.artcaffe.co.ke/the-hub/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/58/22/02/garlic-bread.jpg","22",,"+254 790 124892","false","false","Restaurants",,"97",,"36.70429","Karen, Nairobi","$$ - $$$","4"
"Cheesecake","Burger","Salad","Tacos","Laksa","Tostones","Hummus",,,,,,,,,,,,,"Nairobi","Kenya",,,"60 Ndovu Road",,"Sit down",,"Africa/Nairobi","1020","510",,,,,"1020","510","1020","510","1020","510","1020","510","1020","510",,,"Healthy","International","Contemporary","Fusion","Vegetarian Friendly","Vegan Options","Gluten Free Options",,"10","8","7","30","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"101","","Breakfast","Lunch","Dinner","Brunch","Drinks",,"Reservations","Outdoor Seating","Seating","Serves Alcohol","Full Bar",,,,,,,,,,,,,,,,,,"Closed Now","#101 of 1,048 places to eat in Nairobi","Breakfast","Lunch","Dinner","Brunch","Drinks",,"KES 37,059 - KES 296,472","12597664","130","60 Ndovu Road, Nairobi Kenya","Boho Eatery",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d12597664-Reviews-Boho_Eatery-Nairobi.html",,"3.488462448120117","-1.369858","restaurant","https://www.facebook.com/bohoeaterynairobi/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/0f/f7/a6/13/asian-noodles-with-pomegranate.jpg","833",,"+254 727 502416","false","false","Restaurants",,"117","info@boho.co.ke","36.75024","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Ngong","Kenya","",,"400 Meters Before The Main Gate To Ngong Hills Forest Reserve","",,,,,,,,,,,,,,,,,,,,,,"French",,,,,,,,"0","0","0","0","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1137923","Ngong","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#1 of 2 places to eat in Ngong",,,,,,,,"22932618","8","400 Meters Before The Main Gate To Ngong Hills Forest Reserve, Ngong Kenya","E-trails Kenya",,"https://www.tripadvisor.com/Restaurant_Review-g1137923-d22932618-Reviews-E_trails_Kenya-Ngong_Rift_Valley_Province.html",,"3.088494062423706","-1.370808","restaurant","http://web.facebook.com/ebikeskenya","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/1c/6e/97/1a/e-trails-kenya.jpg","1",,"+254 735 069075","false","false","Restaurants",,"3",,"36.6462","Ngong, Rift Valley Province","$$ - $$$","5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Langata Road","Shell Service Station opposite Crossroads","Café",,,,,,,,,,,,,,,,,,,,,"Diner",,,,,,,,"0","0","1","4","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"398","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#398 of 1,048 places to eat in Nairobi",,,,,,,"KES 22,235 - KES 222,354","14039816","0","Langata Road Shell Service Station opposite Crossroads, Nairobi Kenya","Java House","https://www.javahouseafrica.com/our-menu/","https://www.tripadvisor.com/Restaurant_Review-g294207-d14039816-Reviews-Java_House-Nairobi.html",,"3.088559627532959","-1.322653","restaurant","https://www.javahouseafrica.com/our-locations/","RESTAURANT",,"833",,"+254 700 718811","false","false","Restaurants",,"7",,"36.707962","Nairobi","$","4"
"Fish",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Ngong Racecourse","Off Ngong Road","Sit down",,"Africa/Nairobi","120","0",,,,,"120","0","120","0","120","0","120","0","120","0",,,"Bar","Pub","Gastropub","European",,,,,"2","2","6","7","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"386","","Lunch","Dinner",,,,,"Accepts Visa","Reservations","Buffet","Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Accepts American Express","Accepts Mastercard","Digital Payments","Free Wifi","Accepts Discover","Takeout","Outdoor Seating","Accepts Credit Cards","Table Service",,,,,"Closed Now","#386 of 1,048 places to eat in Nairobi","Lunch","Dinner",,,,,"KES 741 - KES 2,965","8532965","10","Ngong Racecourse Off Ngong Road, Nairobi Kenya","The Curragh Irish Pub and Bistro",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d8532965-Reviews-The_Curragh_Irish_Pub_and_Bistro-Nairobi.html","We are Nairobi's only Irish pub, tucked away from all the hustle and bustle of city life, in the beautiful green and leafy surrounds of Ngong Racecourse. We have a multitude of different spaces available to relax in, from our authentic Irish pub, our scenic and quiet outdoor space surrounded by ancient old trees, and we have recently opened out Moët & Chandon champagne terrace, with gorgeous views of Ngong forest and the golf club. We can be hired out for parties such as weddings, birthdays and corporate events.","3.094963312149048","-1.311139","restaurant","http://thecurraghnairobi.com/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/09/69/d8/39/the-curragh-irish-pub.jpg","833",,"+254 724 902068","false","false","Restaurants",,"24","info@thecurraghnairobi.com","36.742153","Nairobi","$$ - $$$","3.5"
"Ribs",,,,,,,,,,,,,,,,,,,"Nairobi","Kenya","00600",,"Shop B1, 13 Dagoretti Road, Karen Hub","The Hub Karen",,,"Africa/Nairobi","1260","540",,,"1260","540","1260","540","1260","540","1260","540","1260","540","1260","540",,,"Steakhouse",,,,,,,,"1","1","4","3","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"370","","Lunch","Dinner","Breakfast",,,,"Reservations","Seating","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,"Closed Now","#370 of 1,048 places to eat in Nairobi","Lunch","Dinner","Breakfast",,,,,"10804717","52","Shop B1, 13 Dagoretti Road, Karen Hub The Hub Karen, Nairobi 00600 Kenya","Eagle Peak Spur","https://www.spursteakranches.com/ke/article/menu?utm_source=Tripadvisor&utm_medium=menu_link&utm_campaign=SP&utm_content=SP","https://www.tripadvisor.com/Restaurant_Review-g294207-d10804717-Reviews-Eagle_Peak_Spur-Nairobi.html","Spur serves its famous flame-grilled burgers and steaks, fresh salads and decadent desserts to families from all over the world. As a distinctly family-orientated band, we offer an environment where the whole “tribe” can come relax and enjoy themselves. This is the way it has always been at Spur and the reason why we have found a special place in the hearts of our customer over several generations!","3.1002607345581055","-1.320317","restaurant","http://www.spursteakranches.com/ke?utm_source=Tripadvisor&utm_medium=website_link&utm_campaign=SP&utm_content=SP","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-w/17/83/d1/fa/logo.jpg","833",,"0702555000","false","false","Restaurants",,"15","Spur@optiven.co.ke","36.70385","Nairobi","$$ - $$$","4"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Forest Edge Rd","Off Langata road. Karen - Nairobi","Sit down",,"Africa/Nairobi","1350","540",,,"1350","540","1350","540","1350","540","1350","540","1350","540","1350","540",,,"African","Bar","Wine Bar","Indian","Barbecue",,,,"0","0","0","0","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"414","","Lunch","Dinner","Drinks","Breakfast","Brunch","Late Night","Delivery","Takeout","Reservations","Outdoor Seating","Buffet","Private Dining","Parking Available","Highchairs Available","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service","Family style","Non-smoking restaurants",,,,,,"Closed Now","#414 of 1,048 places to eat in Nairobi","Lunch","Dinner","Drinks","Breakfast","Brunch","Late Night","KES 222,354 - KES 592,944","26430781","41","Forest Edge Rd Off Langata road. Karen - Nairobi, Nairobi Kenya","Qmins Bar & Kitchen",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d26430781-Reviews-Qmins_Bar_Kitchen-Nairobi.html","Nestled in the serene embrace of Karen, just off the enchanting Forest Edge Road, Qmins Bar and Kitchen is a captivating oasis where nature's beauty meets culinary mastery. Our meticulously curated garden provides an idyllic backdrop to your dining experience, while our bar and kitchen offer a blend of sophistication and comfort. With a menu celebrating Indian, African, and international cuisines, each plate is a masterpiece that transcends borders. Beyond our delectable offerings, we also provide Events and Conferencing services, seamlessly fusing culinary excellence with event planning expertise. Qmins Bar and Kitchen stands as a testament to the harmonious blend of nature's beauty, global flavours, and the art of hospitality – a destination where every visit is an escape into a world of taste and elegance.","3.082098960876465","-1.340014","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/29/e3/41/1a/discover-a-hidden-gem.jpg","833",,"+254 758 864729","false","false","Restaurants",,"2","kenyaqmins22@gmail.com","36.76606","Nairobi","$$ - $$$","5"
,,,,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Ngong Road.","200 Meters from Karen Shopping Center",,,"Africa/Nairobi","720","420",,,"720","420","720","420","720","420","720","420","720","420","720","420",,,,,,,,,,,"0","1","0","6","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"363","","Breakfast","Lunch",,,,,"Reservations",,,,,,,,,,,,,,,,,,,,,,"Closed Now","#363 of 1,048 places to eat in Nairobi","Breakfast","Lunch",,,,,,"10723821","1","Ngong Road. 200 Meters from Karen Shopping Center, Nairobi Kenya","Legend Karen",,"https://www.tripadvisor.com/Restaurant_Review-g294207-d10723821-Reviews-Legend_Karen-Nairobi.html",,"3.10429310798645","-1.32416","restaurant","https://www.facebook.com/clublegendkaren/","RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/11/d7/3e/9e/these-silly-guys-attract.jpg","832",,"+254 718 774447","false","false","Restaurants",,"10",,"36.70858","Nairobi",,"4"
"Burger",,,,,,,,,,,,,,,,,,,"Karen","Kenya",,,"Dagoretti Road","The Hub Mall","Sit down",,,,,,,,,,,,,,,,,,,,,"Fast Food",,,,,,,,"1","0","2","7","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12559418","Karen","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country","10","","Dinner","Lunch",,,,,"Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,"#10 of 29 places to eat in Karen","Dinner","Lunch",,,,,,"15028401","2","Dagoretti Road The Hub Mall, Karen, Nairobi Kenya","Burger King",,"https://www.tripadvisor.com/Restaurant_Review-g12559418-d15028401-Reviews-Burger_King-Karen_Nairobi.html",,"3.10351824760437","-1.32429","restaurant",,"RESTAURANT","https://media-cdn.tripadvisor.com/media/photo-o/15/ae/f6/b7/20181204-170106-largejpg.jpg","22",,"+254 712 345678","false","false","Restaurants","Quick Bites","13",,"36.70857","Karen, Nairobi","$$ - $$$","4"
