"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Snow Foam Car Wash, Syokimau Kenya","Syokimau","Kenya",,,"Snow Foam Car Wash",,,"12245284","Syokimau","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant","Mexican","African","Pizza","Cafe","Fast Food","Authentic Mexican Foods & Spices","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,,,,,,,"Restaurants",,"Delivery","Takeout","Reservations","Outdoor Seating","Seating","Parking Available","Street Parking","Television","Wheelchair Accessible","Accepts Mastercard","Accepts Visa","Digital Payments","Cash Only","Free Wifi","Drive Thru","Non-smoking restaurants",,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","26526904",,"false","false","-1.358659",,"","Syokimau, Eastern Province","36.95439","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks",,"Tako house","0","Open Now",,"+254 721 700660","0",,,,,,,"0","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g12245284-d26526904-Reviews-Tako_house-Syokimau_Eastern_Province.html",
"Along Nairobi-namanga Road, Kitengela Kenya","Kitengela","Kenya",,,"Along Nairobi-namanga Road",,,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,"Bars & Pubs","Restaurants",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","25229472","https://media-cdn.tripadvisor.com/media/photo-m/1280/2a/2a/43/c1/discover-a-dining-experience.jpg","false","false","-1.52484",,"","Kitengela, Rift Valley Province","36.94595","Breakfast","Lunch","Dinner",,,,,"Rixxos","2","Open Now",,,"4",,,"10","10","#10 of 13 places to eat in Kitengela","2","1","0","1","0","0","2.711574077606201",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25229472-Reviews-Rixxos-Kitengela_Rift_Valley_Province.html",
"Nairobi - Namanga, Athi River Tarikiville Mall, Unit 11, Kitengela Kenya","Kitengela","Kenya",,,"Nairobi - Namanga, Athi River","Tarikiville Mall, Unit 11",,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night",,,,,,,,,"Restaurants",,"Delivery","Takeout","Private Dining","Seating","Parking Available","Digital Payments","Cash Only","Free Wifi","Non-smoking restaurants",,,,,,,,,,,"Africa/Nairobi","1320","510","1320","510","1320","510","1320","510","1320","510","1320","510","1320","510","25091660","https://media-cdn.tripadvisor.com/media/photo-s/26/b5/26/c4/dine-with-us.jpg","false","false","-1.475256",,"","Kitengela, Rift Valley Province","36.95884","Breakfast","Lunch","Dinner","Brunch","Late Night",,,"Jamie's Nigerian Restaurant","0","Closes in 25 min",,"+254 769 360979","9",,,,,,,"0","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d25091660-Reviews-Jamie_s_Nigerian_Restaurant-Kitengela_Rift_Valley_Province.html",
"Tubman Road, Nairobi Kenya","Nairobi","Kenya","",,"Tubman Road","",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","African","Fast Food","Vegetarian Friendly",,,,"Breakfast","Lunch","Dinner",,,,"Fish",,,,,,,"Restaurants",,"Takeout","Buffet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016210","https://media-cdn.tripadvisor.com/media/photo-o/09/6d/24/5a/fish-fingers.jpg","false","false","-1.33084",,"","Nairobi","36.88881","Breakfast","Lunch","Dinner",,,,,"Greenview Restaurant","19",,,,"2","$",,"832","322","#322 of 1,048 places to eat in Nairobi","4","0","1","6","7","5","3.1210310459136963","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d1016210-Reviews-Greenview_Restaurant-Nairobi.html",
"Syokimart Building Katani Road off Mombasa Highway., Syokimau Kenya","Syokimau","Kenya",,,"Syokimart Building","Katani Road off Mombasa Highway.",,"12245284","Syokimau","City",,"2697616","Eastern Province","Province",,"294206","Kenya","Country","restaurant","African","Ethiopian",,,,"Best Ethiopian cuisine along Mombasa road located on katani road off Mombasa express highway 1 km off.We offer exceptional tantalizing dishes and coffee.","Breakfast","Lunch","Dinner",,,,,,,,,,"njorogegits@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","1200","540","25083627","https://media-cdn.tripadvisor.com/media/photo-o/26/a4/80/f0/mixed-dish.jpg","false","false","-1.371765",,"","Syokimau, Eastern Province","36.935596","Breakfast","Lunch","Dinner",,,,,"Mj Ethiopian Cuisine","1","Closed Now",,"+254 714 358792","13",,,"2","1","#1 of 3 places to eat in Syokimau","5","0","0","0","0","1","3.0431339740753174",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g12245284-d25083627-Reviews-Mj_Ethiopian_Cuisine-Syokimau_Eastern_Province.html",
"Mombasa Road, Nairobi Kenya","Nairobi","Kenya",,,"Mombasa Road",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","African","Bar","Barbecue","Pub",,,"Breakfast","Lunch","Dinner",,,,,,,,,,,"Restaurants",,"Seating","Table Service",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","360","1380","360","1380","360","1380","360","1380","360","1380","360","1380","360","4897185",,"false","false","-1.32946",,"","Nairobi","36.87334","Breakfast","Lunch","Dinner",,,,,"Choma Zone","13","Open Now",,,"0","$$ - $$$",,"833","605","#605 of 1,048 places to eat in Nairobi","3.5","1","2","2","8","0","3.0352694988250732",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d4897185-Reviews-Choma_Zone-Nairobi.html",
"Imaara Shopping Mall, Nairobi Kenya","Nairobi","Kenya",,,"Imaara Shopping Mall",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","Mexican","American","African","International","European","CJ’s, a fully fledged restaurant specializing in delivering a relaxed and memorable dining experience. Each location features a unique ambience with tasteful décor, specially designed for your comfort. To make you feel more at home, we’ve carefully selected a unique theme for each location.","Breakfast","Lunch","Dinner",,,,"Burger",,,,,,"cjs.imaara@cjs.co.ke","Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420","1380","420","25184060","https://media-cdn.tripadvisor.com/media/photo-o/28/ef/71/df/cjs-imaara.jpg","false","false","-1.32789",,"","Nairobi","36.88155","Breakfast","Lunch","Dinner",,,,,"Cjs - Imaara","602","Open Now",,"+254 714 000090","97",,,"832","28","#28 of 1,048 places to eat in Nairobi","5","1","1","8","26","566","4.3705644607543945",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d25184060-Reviews-Cjs_Imaara-Nairobi.html","https://cjs.co.ke/"
"First Freight Lane, Nairobi 37813 Kenya","Nairobi","Kenya","37813",,"First Freight Lane",,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","17725875","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/4a/47/11/food.jpg","false","false","-1.33882",,"","Nairobi","36.91493","Breakfast","Lunch","Dinner",,,,,"Aroma","4","Open Now",,"+254 709 222444","20",,,"832","360","#360 of 1,048 places to eat in Nairobi","5","0","0","0","0","4","3.1065359115600586",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d17725875-Reviews-Aroma-Nairobi.html","http://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nboir/hoteldetail"
"Mombasa Rd Nairobi, Mombasa rd, Nairobi 60795 Kenya","Nairobi","Kenya","60795",,"Mombasa Rd","Nairobi, Mombasa rd",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant",,,,,,"Welcome to Mugg & Bean Total Mombasa Road OTM, the place where customers become regulars and regulars become friends. We're your home away from home, the place where you always get more and more. You taste it in our seasonally inspired menus, generous portions and bottomless drinks. Our coffee credentials only feature the best coffees from around the world, sourced and prepared by our experts and our cakes are freshly baked, made from scratch and enjoyed in generous slices. 
What is certain is that at Mugg & Bean you'll always enjoy the taste of more and more.","Breakfast","Lunch","Dinner",,,,,,,,,,"muggbean.newmombasard@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","23288285",,"false","false","-1.32973",,"","Nairobi","36.87356","Breakfast","Lunch","Dinner",,,,,"Mugg & Bean","0","Open Now",,"+254 735-329758","0",,,,,,,"0","0","0","0","0",,,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d23288285-Reviews-Mugg_Bean-Nairobi.html",
"Gate 14 Jomo Kenyatta Airport, Nairobi Kenya","Nairobi","Kenya",,,"Gate 14","Jomo Kenyatta Airport",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"restaurant","American","Bar","Cafe","Vegetarian Friendly",,,"Breakfast","Lunch","Dinner","Brunch","Late Night",,"Juice & Smoothies","Sandwiches","Burger","Salad","Toasts","Cakes",,"Restaurants",,"Takeout","Seating","Wheelchair Accessible","Serves Alcohol","Free Wifi","Table Service",,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","3339972","https://media-cdn.tripadvisor.com/media/photo-o/06/77/3f/28/kenyan-answer-to-starbucks.jpg","false","false","-1.329771",,"","Nairobi","36.93223","Breakfast","Lunch","Dinner","Brunch","Late Night",,,"Java House Jomo Kenyatta Airport","276","Open Now",,"+254 721 371917","66","$$ - $$$",,"832","166","#166 of 1,048 places to eat in Nairobi","3.5","27","20","62","118","49","3.2703380584716797","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g294207-d3339972-Reviews-Java_House_Jomo_Kenyatta_Airport-Nairobi.html","http://www.nairobijavahouse.com/java-location/our-restaurants"
"Balozi road Rosewall estate, Kitengela 00100 Kenya","Kitengela","Kenya","00100",,"Balozi road","Rosewall estate",,"13004822","Kitengela","City",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","Indian","African",,,,"A restaurant with a serene ambience within Kitengela. We have a fully green grassed garden for events and an Olympic size swimming pool with a baby pool on the side. Our menu caters for those who hunger for the Kenyan local meals and Indian authentic meals. A variety of soft drinks are also offered.",,,,,,,,,,,,,"inforosewall@gmail.com","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18719112","https://media-cdn.tripadvisor.com/media/photo-o/19/31/b9/a1/rosewall.jpg","false","false","-1.494569",,"","Kitengela, Rift Valley Province","36.96802",,,,,,,"https://www.outboxbookings.com/index.php?string=outboxbo_otieno","Rosewall Oasis Swimming Pool","2",,,"+254 770 866603","1","$","KES 29,647 - KES 148,236","10","4","#4 of 13 places to eat in Kitengela","4.5","0","0","0","1","1","3.041609048843384","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g13004822-d18719112-Reviews-Rosewall_Oasis_Swimming_Pool-Kitengela_Rift_Valley_Province.html","http://rosewalloasisswimmingpool.com/"
