"address","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","category","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","description","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","email","establishmentTypes/0","establishmentTypes/1","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","id","image","isClosed","isLongClosed","latitude","localAddress","localName","locationString","longitude","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","menuWebUrl","name","numberOfReviews","openNowText","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","phone","photoCount","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","rawRanking","subcategories/0","type","webUrl","website"
"Watamu Beach, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Seafood","European","Grill",,,,,,,,"Breakfast","Lunch","Dinner","Drinks",,,,,,,,,,,,,"Restaurants",,"Reservations","Outdoor Seating","Seating","Street Parking","Free off-street parking","Serves Alcohol","Full Bar","Wine and Beer","Cash Only","Free Wifi","Table Service","Waterfront","Beach","Dog Friendly",,,,,,,,,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","25179752","https://media-cdn.tripadvisor.com/media/photo-o/28/67/49/94/caption.jpg","false","false","-3.350105",,"","Watamu, Coast Province","40.025917","Breakfast","Lunch","Dinner","Drinks",,,,"Sunrise Beach Restaurant","15","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 706 185232","48",,,"51","23","#23 of 60 places to eat in Watamu","5","0","0","0","1","14","3.3470003604888916",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d25179752-Reviews-Sunrise_Beach_Restaurant-Watamu_Coast_Province.html",
"Silversand Road Near The Malindi Locals, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Silversand Road","Near The Malindi Locals",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Barbecue",,,,,,,,,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1200","420","1200","420","1200","420","1200","420","1200","420","1200","420","1200","420","23728380","https://media-cdn.tripadvisor.com/media/photo-m/1280/21/5b/16/25/seafront-swahili-dishes.jpg","false","false","-3.23247",,"","Malindi, Coast Province","40.12714","Breakfast","Lunch","Dinner",,,,,"Seafront Swahili Dishes","3","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 793 717333","7",,,"40","26","#26 of 59 places to eat in Malindi","4.5","0","0","0","2","1","3.0789380073547363",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d23728380-Reviews-Seafront_Swahili_Dishes-Malindi_Coast_Province.html",
"Watamu Beach Road Next To Taste Italy, Watamu 80201 Kenya","Watamu","Kenya","80201",,"Watamu Beach Road","Next To Taste Italy",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","Cafe","Seafood","Vegetarian Friendly","Gluten Free Options",,,,,,"We are situated in central Watamu, at Peponi plaza Next shakir and taste Italy italian supermarket. ours is a cafetteria and restaurant which serves breakfast, lunch, aperetiffs eg tropical alcoholic and analcoholic drinks, and dinner. Our aim is to achieve at most customer satisfaction . You are all welcome.","Breakfast","Lunch","Dinner","Brunch",,,"Pasta","Lobster","Pesto",,,,,,,"danedi@libero.it","Restaurants",,"Reservations","Seating","Wheelchair Accessible","Serves Alcohol","Full Bar","Outdoor Seating","Wine and Beer","Accepts Credit Cards",,,,,,,,,,,,,,,"Africa/Nairobi","1320","420","1320","420","1320","420","1320","420","1320","420","1320","420","1320","420","13357192","https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/55/e0/da/the-liars-club.jpg","false","false","-3.353992",,"","Watamu, Coast Province","40.019684","Breakfast","Lunch","Dinner","Brunch",,,,"The Liars Club","241","Closes in 21 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 710 804262","168","$$ - $$$",,"51","1","#1 of 60 places to eat in Watamu","5","5","1","7","17","211","4.78834867477417",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d13357192-Reviews-The_Liars_Club-Watamu_Coast_Province.html","https://www.facebook.com/Theliarsclubwatamu/"
"Lamu Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Lamu Road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","International",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4435914","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/e6/cd/d9/caption.jpg","false","false","-3.2094",,"","Malindi, Coast Province","40.11704",,,,,,,,"Star Dust","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,"40","25","#25 of 59 places to eat in Malindi","5","0","0","0","1","3","3.083714008331299","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d4435914-Reviews-Star_Dust-Malindi_Coast_Province.html",
"Watamu Beach Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Pizza","Seafood","International","Mediterranean",,,,,,,,"Lo Mbuyu Restaurant si trova lungo la Watamu Beach Road. Il locale offre una sala ristorante all'interno della rinnovata struttura Mbuyu Lodge. Cucina gourmet di crudi di pesce, cucina mediterranea e pizzeria sono le proposte della cucina. All'esterno, ampia gelateria di produzione propria.","Breakfast","Lunch","Dinner","Drinks",,,,,,,,,,,,"mbuyulodgewatamu@gmail.com","Restaurants",,"Outdoor Seating","Seating","Free off-street parking","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,"Africa/Nairobi","1380","540","1380","540","1380","540","1380","540","1380","540","1380","540","1380","540","21273392","https://media-cdn.tripadvisor.com/media/photo-o/1c/02/9c/24/la-nostra-sala-all-aperto.jpg","false","false","-3.355427",,"","Watamu, Coast Province","40.01988","Breakfast","Lunch","Dinner","Drinks",,,,"Mbuyu Restaurant Watamu","8","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 796 904460","5","$$ - $$$","KES 74,118 - KES 444,708","51","38","#38 of 60 places to eat in Watamu","4","1","0","1","1","5","3.1051900386810303","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d21273392-Reviews-Mbuyu_Restaurant_Watamu-Watamu_Coast_Province.html",
"Watamu Gede Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Gede Road",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Indian","African","Seafood","Mediterranean","Grill",,,,,,,"Our Restaurant is due to seasonal change closed for outside guests till further notice. Please visit our Website for more Information about our accomodation options.","Lunch","Dinner","Drinks",,,,,,,,,,,,,"kidogonyumbani@gmail.com","Restaurants",,"Reservations","Private Dining","Free off-street parking","Full Bar","Wine and Beer",,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","720","1320","960","1320","960","1320","960","1320","960","1320","960","1320","720","14883900","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/eb/46/0d/naan-wrap-with-mixed.jpg","false","false","-3.337906",,"","Watamu, Coast Province","40.01184","Lunch","Dinner","Drinks",,,,"https://www.kidogonyumbani.com/uploads/1/2/0/1/120130605/kidogo_nyumbani_menu_08.18.pdf","Kidogo Nyumbani Backpackers","6","Closes in 21 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 751 333772","27","$","KES 148 - KES 1,779","51","36","#36 of 60 places to eat in Watamu","5","0","0","0","0","6","3.116071939468384","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d14883900-Reviews-Kidogo_Nyumbani_Backpackers-Watamu_Coast_Province.html","http://kidogonyumbani.com"
"Mama Ngina Rd, Old Town, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Mama Ngina Rd, Old Town","",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood",,,,,,,,,,,,"Breakfast","Lunch","Dinner",,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1320","480","1200","480","1200","480","1200","480","1200","480","1320","480","1320","480","1214055","https://media-cdn.tripadvisor.com/media/photo-o/11/c5/e6/ee/malindi-sea-fishing-club.jpg","false","false","-3.21885",,"","Malindi, Coast Province","40.12564","Breakfast","Lunch","Dinner",,,,,"Malindi Sea Fishing Club","19","Closed Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 30550 ","5","$$ - $$$",,"40","18","#18 of 59 places to eat in Malindi","4.5","0","0","5","4","10","3.1482465267181396",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d1214055-Reviews-Malindi_Sea_Fishing_Club-Malindi_Coast_Province.html",
"Casuarini Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Casuarini Road","",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,,,,,,,"Lunch","Breakfast",,,,,,,,,,,,,,"kilili-resort@swiftmalindi.com","Restaurants",,"Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1526517","https://media-cdn.tripadvisor.com/media/photo-o/0c/c8/27/88/fb-img-1472409682540.jpg","false","false","-3.24066",,"","Malindi, Coast Province","40.12629","Lunch","Breakfast",,,,,,"Kilili Baharini","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00254 42 2120169 ","10","$$ - $$$",,"40","24","#24 of 59 places to eat in Malindi","4","2","1","2","6","7","3.097715139389038","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d1526517-Reviews-Kilili_Baharini-Malindi_Coast_Province.html","http://www.kililibaharini.com/"
"Fortamu Beach Jacaranda Road, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Fortamu Beach","Jacaranda Road",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Grill","Italian","African","Vegetarian Friendly",,,,,,,,"Beautiful white Beach with crystal clear sea that is the backdrop to this tipical restaurant offering Italian dishes ,African specialties and grilled fresh fish all accompanied by good music and a great bottle of wine. In Fortamu /Watamu easily accessible from Malindi. We arrange wedding and private parties.","Breakfast","Brunch","Dinner",,,,,,,,,,,,,"matildebonetti.roma@gmail.com","Restaurants",,"Wheelchair Accessible","Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12952553","https://media-cdn.tripadvisor.com/media/photo-o/10/e5/e4/d1/da-vale-e-maty.jpg","false","false","-3.347208",,"","Watamu, Coast Province","40.03435","Breakfast","Brunch","Dinner",,,,,"Mrembo Restaurant","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 718 845018","292","$$ - $$$","KES 74,118 - KES 370,590","51","33","#33 of 60 places to eat in Watamu","4.5","0","1","0","2","10","3.179062843322754","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d12952553-Reviews-Mrembo_Restaurant-Watamu_Coast_Province.html","http://www.facebook.com/Mrembo-BEACH-121532748566800/"
"Watamu Beach, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","Italian","Mediterranean",,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13424782","https://media-cdn.tripadvisor.com/media/photo-o/1a/b1/1e/a8/coconut-beach-cafe.jpg","false","false","-3.36595",,"","Watamu, Coast Province","40.00189",,,,,,,,"Coconut Beach Cafe'","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 723 043132","11",,,"51","37","#37 of 60 places to eat in Watamu","4","1","0","2","2","6","3.1123523712158203",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d13424782-Reviews-Coconut_Beach_Cafe-Watamu_Coast_Province.html",
"Lamu Rd, N of Old Town, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Lamu Rd, N of Old Town","",,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Pub",,,,,,,,,,,,"Breakfast","Lunch","Dinner","Drinks",,,,,,,,,,,,,"Restaurants",,"Seating","Wheelchair Accessible","Serves Alcohol",,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1214050","https://media-cdn.tripadvisor.com/media/photo-o/0e/2b/37/94/photo0jpg.jpg","false","false","-3.210436",,"","Malindi, Coast Province","40.116974","Breakfast","Lunch","Dinner","Drinks",,,,"Stars & Garters Lounge Bar","36","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 31336 ","1","$",,"40","21","#21 of 59 places to eat in Malindi","3.5","1","3","14","9","9","3.120112419128418",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d1214050-Reviews-Stars_Garters_Lounge_Bar-Malindi_Coast_Province.html","http://www.facebook.com/Stars-garters-lounge-bar-468913039904045"
"Via Pergolesi 31\B Pozzuoli, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Via Pergolesi 31\B Pozzuoli",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","Pizza","International","Mediterranean","European",,,,,,,,"Dinner","Lunch",,,,,,,,,,,,,,"putipurestaurant@gmail.com","Restaurants",,"Takeout","Reservations","Seating","Buffet","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3636448","https://media-cdn.tripadvisor.com/media/photo-o/06/59/fd/2c/putipu.jpg","false","false","-3.20607",,"","Malindi, Coast Province","40.11197","Dinner","Lunch",,,,,,"Putipu","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+39 081 1936 9628","16","$$ - $$$",,"40","16","#16 of 59 places to eat in Malindi","4","4","3","4","20","13","3.194945812225342","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d3636448-Reviews-Putipu-Malindi_Coast_Province.html",
"Lamu Road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Lamu Road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood","Italian",,,,,,,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,"Restaurants",,"Reservations","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7366435","https://media-cdn.tripadvisor.com/media/photo-o/08/a8/56/cb/aragosta-arrosto-con.jpg","false","false","-3.215463",,"","Malindi, Coast Province","40.120934","Lunch","Dinner",,,,,,"The House by Zennah","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 716 514960","41","$$ - $$$",,"40","20","#20 of 59 places to eat in Malindi","4.5","0","0","2","3","10","3.1274571418762207",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d7366435-Reviews-The_House_by_Zennah-Malindi_Coast_Province.html","http://www.facebook.com/pages/Malindi-the-House/252486598293745"
"Turtle Bay Road Dongokundu, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Turtle Bay Road","Dongokundu",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Steakhouse","Bar","Pub","Wine Bar","Beer restaurants",,,,,,,"Quiet location in a typical Swahili style house, built in 1963. Conveniently set along the main road, ample parking and a lush lawn. Hands down the best steaks, chops, burgers and ribs in the Kenya coast.","Lunch","Dinner","Brunch","Drinks",,,"Burger",,,,,,,,,"tannestavern@gmail.com","Restaurants",,"Seating","Delivery","Reservations","Outdoor Seating","Parking Available","Free off-street parking","Television","Serves Alcohol","Full Bar","Wine and Beer","Digital Payments","Accepts Credit Cards","Playgrounds","Dog Friendly","Family style","Sports bars",,,,,,,"Africa/Nairobi","1320","1020","1320","1020","1320","1020","1320","1020","1320","1020","1320","1020","1320","1020","20305933","https://media-cdn.tripadvisor.com/media/photo-o/21/4c/87/cf/our-restaurant-with-an.jpg","false","false","-3.374822",,"","Watamu, Coast Province","39.987614","Lunch","Dinner","Brunch","Drinks",,,"https://web.facebook.com/tannestavern/menu/","Tanne's Tavern","11","Closes in 21 min",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 111 776647","37","$$ - $$$","KES 889 - KES 3,706","51","30","#30 of 60 places to eat in Watamu","4.5","1","0","0","0","10","3.196772575378418","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d20305933-Reviews-Tanne_s_Tavern-Watamu_Coast_Province.html","https://tannes-tavern.business.site/"
"Malindi road, Kikambala Kenya","Kikambala","Kenya",,,"Malindi road",,,"317063","Kikambala","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Vegetarian Friendly",,,,,,,,,,,"Dinner","Lunch",,,,,,,,,,,,,,,"Restaurants",,"Reservations","Takeout","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5960923","https://media-cdn.tripadvisor.com/media/photo-o/07/87/cf/2e/porini.jpg","false","false","-3.2132",,"","Kikambala, Coast Province","40.11773","Dinner","Lunch",,,,,,"Porini","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 733 728435","13","$$ - $$$",,"1","1","#1 of 1 places to eat in Kikambala","4","1","0","1","10","9","3.1814513206481934",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g317063-d5960923-Reviews-Porini-Kikambala_Coast_Province.html","http://www.porini-kenya.com/"
"Vicino Seven Island Resort, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Vicino Seven Island Resort",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Seafood",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25194600","https://media-cdn.tripadvisor.com/media/photo-m/1280/27/68/69/7b/caption.jpg","false","false","-3.3468",,"","Watamu, Coast Province","40.03309",,,,,,,,"Zion Beach Bar","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 704 767038","11",,,"51","39","#39 of 60 places to eat in Watamu","4.5","0","0","0","1","2","3.0931084156036377",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d25194600-Reviews-Zion_Beach_Bar-Watamu_Coast_Province.html",
"Watamu Mida Creek, Watamu 80202 Kenya","Watamu","Kenya","80202",,,"Watamu Mida Creek",,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","Italian","African","International","Sushi","Fusion",,,,,,,"Perched on a 55-metre high rock overlooking Nature at its best, Rock and Sea promises a Magical dining Experience with exquisite Cuisine using locally-sourced fresh ingredients served in a unique setting. Our Passion transforms simple food into Art. Our Goal is to give You Emotions.....",,,,,,,,,,,,,,,,"restaurant.rockandsearesort@gmail.com","Restaurants",,"Reservations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14169430","https://media-cdn.tripadvisor.com/media/photo-o/28/bc/6a/20/caption.jpg","false","false","-3.390924",,"","Watamu, Coast Province","39.964817",,,,,,,"http://www.rockandsearesort.com/menu.html","Rock And Sea Panoramic Restaurant","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 799 670253","6","$$$$","KES 2,965 - KES 13,341","51","29","#29 of 60 places to eat in Watamu","4.5","0","0","2","4","7","3.2129271030426025","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d14169430-Reviews-Rock_And_Sea_Panoramic_Restaurant-Watamu_Coast_Province.html","http://www.rockandsearesort.com"
"Watamu Beach spiaggia barracuda, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Watamu Beach spiaggia barracuda",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Bar","Grill","Pub",,,,,,,,"Blue Laggon Beach E Situato Su Una Della Piu Belle Spiagge Di Watamu La Spiaggia Blue Lagoon (detta Anche Spiaggia Barracuda) Da Noi Potrete Noleggiare Lettini Gustarvi Un Pranzo O Una Cena O Semplicemente Bere Qualcosa In Riva Al Mare Saremo Lieti Di Accontentarvi","Breakfast","Lunch","Dinner","Brunch","Drinks",,,,,,,,,,,"luc@vitrus.it","Restaurants",,"Outdoor Seating","Private Dining","Seating","Serves Alcohol","Full Bar","Wine and Beer","Table Service","Live Music","Waterfront","Beach","Dog Friendly",,,,,,,,,,,,"Africa/Nairobi","1380","540","1380","480","1380","540","1380","540","1380","540","1380","540","1380","480","18843684","https://media-cdn.tripadvisor.com/media/photo-o/19/22/72/78/watamu-blue-lagoon-beach.jpg","false","false","-3.36595",,"","Watamu, Coast Province","40.00189","Breakfast","Lunch","Dinner","Brunch","Drinks",,,"Blue Lagoon Beach","3","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","$$ - $$$","KES 148 - KES 4,447","51","43","#43 of 60 places to eat in Watamu","5","0","0","0","0","3","3.0757172107696533","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d18843684-Reviews-Blue_Lagoon_Beach-Watamu_Coast_Province.html","http://www.facebook.com/ettore.charo"
"New Jacaranda Rd, Watamu 80202 Kenya","Watamu","Kenya","80202",,"New Jacaranda Rd",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18537432",,"false","false","-3.315517",,"","Watamu, Coast Province","40.085037",,,,,,,,"Alawi Boutique Hotel Restaurant","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 743 079620","0",,,"51","46","#46 of 60 places to eat in Watamu","5","0","0","0","0","2","3.0666916370391846",,"RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d18537432-Reviews-Alawi_Boutique_Hotel_Restaurant-Watamu_Coast_Province.html","https://www.facebook.com/Alawiboutiquehotel/"
"Beach Watamu Spiaggia dell ' Amore, Watamu 80202 Kenya","Watamu","Kenya","80202",,"Beach Watamu Spiaggia dell ' Amore",,,"661279","Watamu","City",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African","Vegetarian Friendly",,,,,,,,,,"Locals favorite spot sitting on the sands of 7 island beach/lovers island beach/fisherman's landing.","Lunch","Dinner","Brunch",,,,,,,,,,,,,"willybeachwatamu@gmail.com","Restaurants",,"Reservations","Seating","Serves Alcohol","Table Service","Outdoor Seating","Parking Available","Full Bar",,,,,,,,,,,,,,,,"Africa/Nairobi","1410","480","1410","480","1410","480","1410","480","1410","480","1410","480","1410","480","13804016","https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/dc/48/c7/photo3jpg.jpg","false","false","-3.35148",,"","Watamu, Coast Province","40.02413","Lunch","Dinner","Brunch",,,,,"Willy Beach","51","Open Now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"+254 705 959443","37","$$ - $$$","KES 3,558 - KES 5,336","51","18","#18 of 60 places to eat in Watamu","4.5","3","0","2","11","35","3.461937665939331","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g661279-d13804016-Reviews-Willy_Beach-Watamu_Coast_Province.html","http://willybeach.com"
"Mama ngina road, Malindi 80200 Kenya","Malindi","Kenya","80200",,"Mama ngina road",,,"298253","Malindi","Municipality",,"2697615","Coast Province","Province",,"294206","Kenya","Country","restaurant","African",,,,,,,,,,,,"Lunch","Dinner",,,,,,,,,,,,,,,"Restaurants",,"Takeout","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3441343","https://media-cdn.tripadvisor.com/media/photo-o/0f/83/9b/72/caption.jpg","false","false","-3.22072",,"","Malindi, Coast Province","40.12643","Lunch","Dinner",,,,,,"Jabreen","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","$",,"40","10","#10 of 59 places to eat in Malindi","4","1","3","7","24","20","3.2855544090270996","Sit down","RESTAURANT","https://www.tripadvisor.com/Restaurant_Review-g298253-d3441343-Reviews-Jabreen-Malindi_Coast_Province.html",
