"cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","cuisines/8","cuisines/9","cuisines/10","cuisines/11","cuisines/12","cuisines/13","cuisines/14","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/0/1/close","hours/weekRanges/0/1/open","hours/weekRanges/0/2/close","hours/weekRanges/0/2/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/1/1/close","hours/weekRanges/1/1/open","hours/weekRanges/1/2/close","hours/weekRanges/1/2/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/2/1/close","hours/weekRanges/2/1/open","hours/weekRanges/2/2/close","hours/weekRanges/2/2/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/3/1/close","hours/weekRanges/3/1/open","hours/weekRanges/3/2/close","hours/weekRanges/3/2/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/4/1/close","hours/weekRanges/4/1/open","hours/weekRanges/4/2/close","hours/weekRanges/4/2/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/5/1/close","hours/weekRanges/5/1/open","hours/weekRanges/5/2/close","hours/weekRanges/5/2/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","hours/weekRanges/6/1/close","hours/weekRanges/6/1/open","hours/weekRanges/6/2/close","hours/weekRanges/6/2/open","website","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","establishmentTypes/0","establishmentTypes/1","establishmentTypes/2","ownersTopReasons","ownersTopReasons/sectionHeader","ownersTopReasons/sponsoredBy","ownersTopReasons/topReasons/0/header","ownersTopReasons/topReasons/0/image_url","ownersTopReasons/topReasons/0/isSearchTerm","ownersTopReasons/topReasons/0/keyword","ownersTopReasons/topReasons/0/linkText","ownersTopReasons/topReasons/0/rank","ownersTopReasons/topReasons/0/review","ownersTopReasons/topReasons/0/review/rating","ownersTopReasons/topReasons/0/review/reviewId","ownersTopReasons/topReasons/0/review/screenName","ownersTopReasons/topReasons/0/text","ownersTopReasons/topReasons/1/header","ownersTopReasons/topReasons/1/image_url","ownersTopReasons/topReasons/1/isSearchTerm","ownersTopReasons/topReasons/1/keyword","ownersTopReasons/topReasons/1/linkText","ownersTopReasons/topReasons/1/rank","ownersTopReasons/topReasons/1/review","ownersTopReasons/topReasons/1/review/rating","ownersTopReasons/topReasons/1/review/reviewId","ownersTopReasons/topReasons/1/review/screenName","ownersTopReasons/topReasons/1/text","ownersTopReasons/topReasons/2/header","ownersTopReasons/topReasons/2/image_url","ownersTopReasons/topReasons/2/isSearchTerm","ownersTopReasons/topReasons/2/keyword","ownersTopReasons/topReasons/2/linkText","ownersTopReasons/topReasons/2/rank","ownersTopReasons/topReasons/2/review","ownersTopReasons/topReasons/2/review/rating","ownersTopReasons/topReasons/2/review/reviewId","ownersTopReasons/topReasons/2/review/screenName","ownersTopReasons/topReasons/2/text","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","dishes/9","dishes/10","dishes/11","dishes/12","dishes/13","dishes/14","dishes/15","dishes/16","dishes/17","dishes/18","dishes/19","dishes/20","dishes/21","dishes/22","subcategories/0","category","rankingDenominator","rankingPosition","name","priceRange","address","webUrl","latitude","longitude","neighborhoodLocations/0/id","neighborhoodLocations/0/name","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","phone","type","email","rating","menuWebUrl","localName","description","locationString","localAddress","rankingString","image","photoCount","openNowText","rawRanking","priceLevel","numberOfReviews","isClosed","isLongClosed","id"
"Chinese","Japanese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/WOK-WINE-Restaurant-528823807199235/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Rhapta Road","Prime Apartments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","464","Wok & Wine Restaurant",,"Rhapta Road Prime Apartments, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d10480188-Reviews-Wok_Wine_Restaurant-Nairobi.html","-1.2646","36.79069",,,"0","0","0","2","3","+254 702 624441","RESTAURANT",,"4.5",,"",,"Nairobi",,"#464 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0c/97/6b/e4/photo3jpg.jpg","9",,"3.0683889389038086",,"5","false","false","10480188"
"Cafe","International","Wine Bar",,,,,,,,,,,,,,"Africa/Nairobi","1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"1380","420",,,,,"http://www.romohouseafrica.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Breakfast","Lunch","Dinner","Brunch","Late Night","Drinks","Nairobi","Kenya","00502",,"Muthithi Road","Romo House Africa","Delivery","Takeout","Reservations","Outdoor Seating","Private Dining","Seating","Parking Available","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi","Accepts Credit Cards","Jazz Bar","Gift Cards Available",,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","551","Romo House Restaurant and Lounge",,"Muthithi Road Romo House Africa, Nairobi 00502 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d26251066-Reviews-Romo_House_Restaurant_and_Lounge-Nairobi.html","-1.268086","36.80912",,,"0","0","0","0","1","+254 726 232323","RESTAURANT","info@romohouse.co.ke","5","http://www.romohouseafrica.com/menu","","Discover Romo, an enchanting restaurant and lounge located in Westlands. Inspired by romance and modern charm, we offer a unique dining experience that blends delightful flavors. Indulge in our casual yet sophisticated ambiance, perfect for creating unforgettable moments. Our culinary team skillfully crafts a fusion of international and local flavors, ensuring a remarkable culinary journey from breakfast to dinner. Convenience and security are guaranteed with ample parking space available for over 50 cars. At Romo, we take pride in being part of the local community. We host events that celebrate talented artists, musicians, and cultural initiatives, creating a vibrant and inclusive atmosphere. Visit us at the Capital M Building on Muthithi Road, for an unforgettable dining experience where romance and modernism come together.","Nairobi",,"#551 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-w/29/a4/79/b0/welcome-to-romo.jpg","8","Open Now","3.0445804595947266",,"1","false","false","26251066"
"Mexican","Cafe","Diner","Healthy","Vegetarian Friendly",,,,,,,,,,,,"Africa/Nairobi","1320","420",,,,,"1320","420",,,,,"1320","420",,,,,"1320","420",,,,,"1320","420",,,,,"1320","420",,,,,"1320","420",,,,,"http://www.javahouseafrica.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Breakfast","Lunch","Dinner","Brunch",,,"Nairobi","Kenya","00505",,"Uniafric House","Koinange Street","Takeout","Seating","Outdoor Seating","Highchairs Available","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,,,,,,,,,,,,,,"Coffee & Tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burger","Salad",,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","148","Java House Uniafric",,"Uniafric House Koinange Street, Nairobi 00505 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d3339969-Reviews-Java_House_Uniafric-Nairobi.html","-1.28266","36.8177","20484493","Nairobi Central Business District","2","1","12","24","21","+254 722 233112","RESTAURANT",,"4","https://www.javahouseafrica.com/our-menu/","",,"Nairobi",,"#148 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/05/07/90/58/java-house-uniafric.jpg","22","Open Now","3.311492681503296","$$ - $$$","60","false","false","3339969"
"Chinese",,,,,,,,,,,,,,,,"Africa/Nairobi","1080","600",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1200","660",,,,,"1080","600",,,,,"1080","600",,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya",,,"Mvuli Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","748","Wok On Wheels",,"Mvuli Road, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d25069097-Reviews-Wok_On_Wheels-Nairobi.html","-1.263034","36.79286",,,"0","0","1","0","0","+254 701 500003","RESTAURANT",,"3",,"",,"Nairobi",,"#748 of 1,048 places to eat in Nairobi",,"0","Closed Now","3",,"1","false","false","25069097"
"African",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.40fortylounge.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya","00200",,"Westlands Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","470","40forty Lounge","KES 74,118 - KES 1,482,360","Westlands Road, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13125086-Reviews-40forty_Lounge-Nairobi.html","-1.26943","36.80873",,,"2","0","2","2","4","+254 796 404040","RESTAURANT","info@40forty.co.ke","3.5",,"","This is a Classy Urban Restaurant lounge with a global Heritage designed with Urban retro Ambiance that attracts a mature and out going demographic. We have enough room to cater for big functions and fair prices and a service stuff motivated to make your experience memorable.","Nairobi",,"#470 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/28/e7/f5/a9/caption.jpg","6",,"3.066709041595459","$$ - $$$","10","false","false","13125086"
"Cafe","Vegetarian Friendly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.valleycoffee.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Breakfast","Lunch","Dinner","Brunch",,,"Breakfast","Lunch","Dinner","Brunch",,,"Nairobi","Kenya",,,"Yalla Towers. 3rd flr, Junction of Koinange St. and Biashara St.",,"Seating","Takeout","Wheelchair Accessible","Table Service",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee & Tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Café","restaurant","832","164","Valley Coffee Shake",,"Yalla Towers. 3rd flr, Junction of Koinange St. and Biashara St., Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d5570668-Reviews-Valley_Coffee_Shake-Nairobi.html","-1.28325","36.81844","20484493","Nairobi Central Business District","0","0","3","14","11","+254 770 367107","RESTAURANT",,"4.5",,"",,"Nairobi",,"#164 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/06/46/45/97/valley-coffee-shake.jpg","22",,"3.2733044624328613","$$ - $$$","28","false","false","5570668"
"American",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Muthithi Road - Mpaka road Junction","Westlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","683","Chef's chicken",,"Muthithi Road - Mpaka road Junction Westlands, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13527448-Reviews-Chef_s_chicken-Nairobi.html","-1.26804","36.80908",,,"0","1","0","1","1","+254 710 708090","RESTAURANT",,"3.5",,"",,"Nairobi",,"#683 of 1,048 places to eat in Nairobi",,"0",,"3.0173025131225586",,"3","false","false","13527448"
"International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://panarihotels.com/hotel-nairobi/restaurants.html",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Mombasa Rd","Panari Centre Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","833","770","Red Garnet",,"Mombasa Rd Panari Centre Limited, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12154455-Reviews-Red_Garnet-Nairobi.html","-1.26541","36.84019",,,"0","1","0","1","0","+254 711 091000","RESTAURANT",,"3","https://www.panarihotels.com/hotel-nairobi/images/menupdf/Black-Gold-Menu-12.pdf","",,"Nairobi",,"#770 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/18/5a/a4/ad/caption.jpg","6",,"2.974515914916992",,"2","false","false","12154455"
"African","European","Fusion",,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"1410","420",,,,,"1410","420",,,,,"1410","420",,,,,"1410","420",,,,,"1410","420",,,,,"1410","420",,,,,"https://www.facebook.com/thecollectivenbo/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner","Breakfast","Lunch","Drinks",,,"Dinner","Breakfast","Lunch","Drinks",,,"Nairobi","Kenya",,,"Utalii Street","View Park Towers Ground Floor and Street Entrance on Utalii Lane","Reservations","Seating","Private Dining","Street Parking","Television","Serves Alcohol","Free Wifi","Accepts Credit Cards",,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","155","The Collective Restaurant","KES 88,942 - KES 444,708","Utalii Street View Park Towers Ground Floor and Street Entrance on Utalii Lane, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d16746444-Reviews-The_Collective_Restaurant-Nairobi.html","-1.28339","36.81629","20484493","Nairobi Central Business District","0","1","1","8","13","+254 20 5147600","RESTAURANT","info@thecollectivelimited.com","4.5",,"","The Collective is designed to delight the senses and attract people looking for more than just good food. The Collective is a dynamic space combining a restaurant, lounge, and art gallery providing a world class menu with an African twist. In addition to great food and exquisite cocktails The Collective features talented artists and musicians from across the continent.","Nairobi",,"#155 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/d6/a1/ae/stuffed-chicken-wrapped.jpg","28","Open Now","3.298302412033081","$$ - $$$","23","false","false","16746444"
"Chinese","Indian","Southwestern",,,,,,,,,,,,,,"Africa/Nairobi","1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"1380","660",,,,,"http://www.facebook.com/NamasteIndiaRestaurantWestlands",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","16941",,"10, Crecent Rd","Off MP SHAH Hospital Junction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fast food","restaurant","832","671","Namaste India Restaurant","KES 29,647 - KES 222,354","10, Crecent Rd Off MP SHAH Hospital Junction, Nairobi 16941 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d13139080-Reviews-Namaste_India_Restaurant-Nairobi.html","-1.265585","36.808804",,,"1","0","0","0","3","+254 700 841843","RESTAURANT","namasteindia@lmrhotel.com","4",,"","Started a new restaurant in Nairobi, Kenya. Please visit us for mouth watering Indian cuisine in the city of Nairobi. Please like our page too.","Nairobi",,"#671 of 1,048 places to eat in Nairobi",,"0","Open Now","3.0211613178253174","$","4","false","false","13139080"
,,,,,,,,,,,,,,,,"Africa/Nairobi",,,,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"1020","540",,,,,"780","540",,,,,"http://www.masaicoffee.com",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Drinks","Breakfast","Lunch",,,,"Drinks","Breakfast","Lunch",,,,"Nairobi","Kenya",,,"Babadogo Rd,",,"Seating","Parking Available","Validated Parking","Wheelchair Accessible","Accepts American Express","Accepts Mastercard","Accepts Visa","Digital Payments","Free Wifi",,,,,,,,,,,,,,,,,,,,,,"Coffee & Tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","771","Masai Coffee factory tour","KES 148 - KES 2,965","Babadogo Rd,, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12637684-Reviews-Masai_Coffee_factory_tour-Nairobi.html","-1.24412","36.884",,,"1","0","1","0","1","+254 720 823542","RESTAURANT",,"3",,"",,"Nairobi",,"#771 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-m/1280/14/2b/a2/d5/caption.jpg","6","Closed Now","2.964003324508667","$$ - $$$","3","false","false","12637684"
"Contemporary",,,,,,,,,,,,,,,,"Africa/Nairobi","1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"1620","660",,,,,"https://www.facebook.com/PriveeWestlands/",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya","254",,,"First Floor Fortis Tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","833","724","Privee",,"First Floor Fortis Tower, Nairobi 254 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d12227389-Reviews-Privee-Nairobi.html","-1.264767","36.80429",,,"0","1","2","2","0","+254 791 249359","RESTAURANT",,"3",,"",,"Nairobi",,"#724 of 1,048 places to eat in Nairobi",,"0","Open Now","3.008439779281616",,"5","false","false","12227389"
"Steakhouse","African","Barbecue","Gluten Free Options",,,,,,,,,,,,,"Africa/Nairobi","1260","630",,,,,"1260","630",,,,,"1260","630",,,,,"1260","630",,,,,"1260","630",,,,,"1260","630",,,,,"1260","630",,,,,"http://www.tamarind.co.ke/carnivore",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner","Brunch",,,,"Lunch","Dinner","Brunch",,,,"Nairobi","Kenya","00200",,"Langata Rd","","Outdoor Seating","Seating","Parking Available","Free off-street parking","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Accepts American Express","Accepts Mastercard","Accepts Visa","Free Wifi","Reservations","Validated Parking","Full Bar","Accepts Credit Cards","Table Service","Buffet","Live Music","Playgrounds",,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheesecake","Ribs","Roast Beef","Salad","Wings","Meatballs","Beef","Lamb","Fish","Pork",,,,,,,,,,,,,,"Sit down","restaurant","832","26","The Carnivore Restaurant","KES 5,929 - KES 14,824","Langata Rd, Nairobi 00200 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d809397-Reviews-The_Carnivore_Restaurant-Nairobi.html","-1.329216","36.801052",,,"125","320","842","1673","2253","+254 722 204647","RESTAURANT","reservations.carnivore@tamarind.co.ke.co.ke","4","https://tamarind.co.ke/restaurant.php?carnivore","","On the outskirts of Nairobi on the Langata Road is the world famous Carnivore, known as the Ultimate 'Beast of a Feast', a meat lovers den where a vast selection of succulent meats are charcoal grilled and carved at your table. Adjoining the Carnivore main restaurant is the 'Simba Saloon' - a vibrant informal a la carte restaurant with a childrens playground,","Nairobi",,"#26 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/0f/f4/0f/6b/carvers-at-the-grill.jpg","2464","Closed Now","4.418415546417236","$$ - $$$","5213","false","false","809397"
"Bar","Pub","Wine Bar","Dining bars",,,,,,,,,,,,,"Africa/Nairobi","1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"1200","600",,,,,"http://bar-barozza-bar.business.site/?utm_source=gmb&utm_medium=referral",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Lunch","Dinner",,,,,"Lunch","Dinner",,,,,"Nairobi","Kenya",,,"E Church",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bars & Pubs","Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","474","Barbarossa Lounge",,"E Church, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d23629800-Reviews-Barbarossa_Lounge-Nairobi.html","-1.265612","36.79235",,,"0","0","0","0","2","+254 721 758559","RESTAURANT","barozzabar@gmail.com","5",,"",,"Nairobi",,"#474 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/1d/d1/97/02/night-life.jpg","4","Closed Now","3.064819574356079",,"2","false","false","23629800"
"French","Seafood","European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner",,,,,,"Dinner",,,,,,"Nairobi","Kenya","00100",,"Rhapta Road, Westlands","","Reservations","Seating","Serves Alcohol","Outdoor Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lobster",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","429","Alan Bobbe's Bistro",,"Rhapta Road, Westlands, Nairobi 00100 Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d1214179-Reviews-Alan_Bobbe_s_Bistro-Nairobi.html","-1.2646","36.79069",,,"3","8","8","11","10"," 226027 ","RESTAURANT",,"3.5",,"",,"Nairobi",,"#429 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-s/02/51/e0/fd/debut-la-terrasse-au.jpg","1",,"3.078521251678467","$$ - $$$","40","false","false","1214179"
"Italian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.safaripark-hotel.com/?page=la-piazzetta",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,,,,,"Nairobi","Kenya",,,"Sarit Centre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","832","460","La Piazetta Nairobi",,"Sarit Centre, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d7291436-Reviews-La_Piazetta_Nairobi-Nairobi.html","-1.19168","36.92818",,,"0","0","1","1","2","+254 701 201201","RESTAURANT","sales@safariparkhotel.co.ke","4.5",,"",,"Nairobi",,"#460 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-w/28/d8/2c/f1/caption.jpg","5",,"3.0692830085754395",,"4","false","false","7291436"
"European",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.secretgardencafe.co.ke",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,"Dinner","Breakfast","Lunch",,,,"Dinner","Breakfast","Lunch",,,,"Nairobi","Kenya",,,"14 Riverside",,"Reservations","Outdoor Seating","Seating","Wheelchair Accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salad",,,,,,,,,,,,,,,,,,,,,,,"Sit down","restaurant","832","422","Secret Garden nairobi",,"14 Riverside, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g294207-d4101761-Reviews-Secret_Garden_nairobi-Nairobi.html","-1.27017","36.80305",,,"4","3","9","10","9","01322229373","RESTAURANT","info@secretgardencafe.co.ke","3.5","http://www.secretgardencafe.co.ke/food-menus/","",,"Nairobi",,"#422 of 1,048 places to eat in Nairobi","https://media-cdn.tripadvisor.com/media/photo-o/08/11/89/08/secret-garden-nairobi.jpg","10",,"3.079457998275757","$$ - $$$","35","false","false","4101761"
"Cafe","International",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.javahouseafrica.com/our-locations/",,"15517142","Lavington","City",,"294207","Nairobi","Municipality",,"294206","Kenya","Country",,,,,,,,,,,,,"Lavington","Kenya",,,"James Gichuru Road","Opposite Lavington Curve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restaurant","6","5","Java House",,"James Gichuru Road Opposite Lavington Curve, Lavington, Nairobi Kenya","https://www.tripadvisor.com/Restaurant_Review-g15517142-d16659040-Reviews-Java_House-Lavington_Nairobi.html","-1.27941","36.7697",,,"1","0","1","1","3","+254 741 575122","RESTAURANT",,"4","https://www.javahouseafrica.com/our-menu/","",,"Lavington, Nairobi",,"#5 of 8 places to eat in Lavington","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/73/e4/be/ta-img-20190213-153050.jpg","3",,"3.055802345275879",,"6","false","false","16659040"
