"features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","hours","hours/timezone","hours/weekRanges/0/0/close","hours/weekRanges/0/0/open","hours/weekRanges/1/0/close","hours/weekRanges/1/0/open","hours/weekRanges/2/0/close","hours/weekRanges/2/0/open","hours/weekRanges/3/0/close","hours/weekRanges/3/0/open","hours/weekRanges/4/0/close","hours/weekRanges/4/0/open","hours/weekRanges/5/0/close","hours/weekRanges/5/0/open","hours/weekRanges/6/0/close","hours/weekRanges/6/0/open","dishes/0","dishes/1","dishes/2","dishes/3","dishes/4","dishes/5","dishes/6","dishes/7","dishes/8","description","cuisines/0","cuisines/1","cuisines/2","cuisines/3","cuisines/4","cuisines/5","cuisines/6","cuisines/7","mealTypes/0","mealTypes/1","mealTypes/2","mealTypes/3","mealTypes/4","mealTypes/5","longitude","priceRange","ancestorLocations/0/abbreviation","ancestorLocations/0/id","ancestorLocations/0/name","ancestorLocations/0/subcategory","ancestorLocations/1/abbreviation","ancestorLocations/1/id","ancestorLocations/1/name","ancestorLocations/1/subcategory","ancestorLocations/2/abbreviation","ancestorLocations/2/id","ancestorLocations/2/name","ancestorLocations/2/subcategory","ancestorLocations/3/abbreviation","ancestorLocations/3/id","ancestorLocations/3/name","ancestorLocations/3/subcategory","ancestorLocations/4/abbreviation","ancestorLocations/4/id","ancestorLocations/4/name","ancestorLocations/4/subcategory","category","rankingDenominator","webUrl","type","ratingHistogram/count1","ratingHistogram/count2","ratingHistogram/count3","ratingHistogram/count4","ratingHistogram/count5","email","rating","addressObj/city","addressObj/country","addressObj/postalcode","addressObj/state","addressObj/street1","addressObj/street2","ownersTopReasons","latitude","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","dietaryRestrictions/4","dietaryRestrictions/5","localAddress","image","photoCount","rankingString","address","menuWebUrl","phone","localName","rankingPosition","numberOfReviews","rawRanking","openNowText","isClosed","isLongClosed","name","locationString","website","id","establishmentTypes/0","priceLevel","subcategories/0"
,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0","1439","0",,,,,,,,,,,"African","Ethiopian",,,,,,,"Breakfast","Lunch","Dinner",,,,,,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d19421266-Reviews-Al_nusra_restaurant-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valle.html","RESTAURANT","1","0","0","2","2","alnusrarestaurant@gmail.com","4","Nanyuki Town","Kenya","10400",,"Lumumba",,,,"Breakfast","Lunch","Dinner",,,,,"https://media-cdn.tripadvisor.com/media/photo-o/1a/a2/a7/23/alnusra-restaurant.jpg","11","#23 of 43 places to eat in Nanyuki Town","Lumumba, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 796 434315","","23","5","3.0495188236236572","Open Now","false","false","Al-nusra restaurant","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"19421266","Restaurants","$",
"Takeout","Free Wifi","Reservations","Buffet","Seating","Parking Available","Free off-street parking","Television","Highchairs Available","Wheelchair Accessible","Serves Alcohol","Full Bar","Wine and Beer","Accepts American Express","Accepts Mastercard","Accepts Visa","Accepts Discover","Accepts Credit Cards","Table Service","Outdoor Seating","Jazz Bar",,"Africa/Nairobi","1350","420","1350","420","1350","420","1350","420","1350","420","1350","420","1350","420",,,,,,,,,,"Located less than 2 km north of Nanyuki Town along the Meru road, Kongoni Camp presents a captivating setting against the awe-inspiring slopes of Mount Kenya. Surrounded by a rich variety of indigenous forest, including olive, cedar, and remnants of other tree species, the camp exudes a serene and tranquil atmosphere. Its unique and rustic charm sets it apart, offering guests a truly immersive experience in their natural surroundings.

Despite its close proximity to the town, Kongoni Camp has been thoughtfully designed to provide a deep connection with the environment. Whether you choose to dine, enjoy a cup of coffee, or stay in our accommodations, you will find yourself immersed in the untamed beauty of the wilderness, forging a special bond with the African bush.

Embrace the serenity and natural beauty of Kongoni Camp Nanyuki as you embark on an unforgettable journey in a truly enchanting environment. We welcome you to discover the magic of our hotel resort.","Bar","American","Indian","International","Vegetarian Friendly",,,,"Lunch","Breakfast","Dinner","Brunch","Drinks",,"37.088924","KES 1,482 - KES 7,412",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d2292090-Reviews-Kongoni_Camp-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Provin.html","RESTAURANT","6","4","5","68","49","info@kongonicamp.com","4","Nanyuki Town","Kenya","10400",,"A2",,,"0.020161","Lunch","Breakfast","Dinner","Brunch","Drinks",,,"https://media-cdn.tripadvisor.com/media/photo-o/0d/24/b0/37/restaurant.jpg","41","#4 of 43 places to eat in Nanyuki Town","A2, Nanyuki Town, Nanyuki Municipality 10400 Kenya","http://www.kongonicamp.com/#menu-main-slide","+254 702 868888","","4","132","3.5119636058807373","Closed Now","false","false","Kongoni Camp","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.kongonicamp.com/","2292090","Restaurants","$$ - $$$","Sit down"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African",,,,,,,,,,,,,,"37.07223",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d17378129-Reviews-Angiri_Camp-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_Provin.html","RESTAURANT","1","0","0","1","1",,"3.5","Nanyuki Town","Kenya",,,,,,"0.007442",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/17/44/2b/a2/angiri-camp.jpg","3","#27 of 43 places to eat in Nanyuki Town","Nanyuki Town, Nanyuki Municipality Kenya",,"+254 729 272588","","27","3","3.027409315109253",,"false","false","Angiri Camp","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","https://www.facebook.com/Angiri-Camp-Nanyuki-234988770527874/","17378129","Restaurants",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Our restaurant is looked next to Nanyuki Airstrip on the highway. We are kid friendly, pet friendly and we also have a pool in the vacinity. We have a variety of food and drinks both alcoholic and non alcoholic. This a peaceful work friendly enviroment, having free WIFI offered to our customers. And if you'd like to hold a meeting frontier is the place. Our staff is friendly and well trained.","Mediterranean","Fusion",,,,,,,,,,,,,"37.044174","KES 74,118 - KES 133,412",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d19988475-Reviews-Frontiers_Coffee_Bar_Restaurant-Nanyuki_Town_Nanyuki_Municipality_Laikipia_Count.html","RESTAURANT","0","0","0","0","2","alphajn2000@gmail.com","5","Nanyuki Town","Kenya","10400",,"One Stop Shop",,,"-0.06255",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/a7/0b/41/a-nice-dinner-date-set.jpg","21","#21 of 43 places to eat in Nanyuki Town","One Stop Shop, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 727 433069","","21","2","3.066129684448242",,"false","false","Frontiers Coffee Bar & Restaurant","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"19988475","Restaurants","$","Café"
"Delivery","Takeout","Outdoor Seating","Seating","Parking Available","Highchairs Available","Free Wifi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African",,,,,,,,,,,,,,"37.072403",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g612348-d26634645-Reviews-Gawanaz_Grill_Makutano-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Va.html","RESTAURANT","0","0","0","0","0",,,"Nanyuki Town","Kenya",,,"Makutano Junction Nanyuki town",,,"0.004974",,,,,,,,,"0",,"Makutano Junction Nanyuki town, Nanyuki Town, Nanyuki Municipality Kenya",,"+254 726 005555","",,"0",,,"false","false","Gawanaz Grill Makutano","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"26634645","Restaurants",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"African",,,,,,,,,,,,,,"37.0745",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d23142745-Reviews-Kazuri_the_Swahili_Restaurant_nanyuki-Nanyuki_Town_Nanyuki_Municipality_Laikipia.html","RESTAURANT","0","0","0","0","2",,"5","Nanyuki Town","Kenya","10400",,"Kimathi Road",,,"0.01173",,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/a0/ff/cb/finger-licking-kuku-wa.jpg","3","#22 of 43 places to eat in Nanyuki Town","Kimathi Road, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 714 652087","","22","2","3.0605087280273438",,"false","false","Kazuri -the Swahili Restaurant-nanyuki","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province",,"23142745","Restaurants",,
"Serves Alcohol","Outdoor Seating","Seating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bar","African",,,,,,,"Breakfast","Lunch","Dinner",,,,"37.08283",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d2651055-Reviews-Sportsman_s_Arms_Restaurant-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rif.html","RESTAURANT","8","7","12","10","6","info@sportsmansarmshotels.com","3","Nanyuki Town","Kenya","",,"","",,"0.014226","Breakfast","Lunch","Dinner",,,,,"https://media-cdn.tripadvisor.com/media/photo-o/17/ea/c7/0d/img-20190614-083024-1.jpg","8","#29 of 43 places to eat in Nanyuki Town","Nanyuki Town, Nanyuki Municipality Kenya",," +254 (62) 31448, 32347","","29","43","3.0088608264923096",,"false","false","Sportsman's Arms Restaurant","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.sportsmansarmshotels.com","2651055","Restaurants","$$ - $$$","Sit down"
"Delivery","Outdoor Seating","Seating","Parking Available","Free off-street parking","Highchairs Available","Full Bar","Digital Payments","Drive Thru","Gift Cards Available",,,,,,,,,,,,,"Africa/Nairobi","1230","720",,,"1230","720","1230","720","1230","720","1440","720","1440","720",,,,,,,,,,"Burritos, Tacos, Burgers and more from our food truck inside DownTown arts centre Nanyuki, Kenya. Find us by using the second gate to Sportsman's arms hotel, next to the bridge over Nanyuki river.","Mexican","American","African",,,,,,"Lunch","Dinner","Late Night",,,,"37.07223","KES 74,118 - KES 148,236",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d24170366-Reviews-Bara_Burritos_DownTown-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Va.html","RESTAURANT","0","0","0","0","4","baraburritos@gmail.com","5","Nanyuki Town","Kenya","10400",,"Downtown Sportsman_s arms","Lenana Road",,"0.007441","Lunch","Dinner","Late Night",,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/25/c4/08/be/burrito.jpg","15","#15 of 43 places to eat in Nanyuki Town","Downtown Sportsman_s arms Lenana Road, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 759 674748","","15","4","3.1316215991973877","Closed Now","false","false","Bara Burritos @ DownTown","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.facebook.com/baraburritos/","24170366","Restaurants","$","Sit down"
"Reservations","Seating","Delivery","Takeout","Parking Available","Television","Serves Alcohol","Full Bar","Digital Payments","Free Wifi","Accepts Credit Cards","Table Service",,,,,,,,,,,"Africa/Nairobi","1380","570",,,"1380","570","1410","570","1410","570","1380","570","1380","570",,,,,,,,,,"Jib's provides a warmth, modern-rustic ambiance where one can find peace with having coffee and reading a book or catching up with friends over cocktails. Our 2-storey restaurant and bar emphasize the experience of homely dining with selection of authentic recipes of Italian pizza, continental breakfast, pastas, steaks, fish & chips and the original Indian cuisine which will be served soon.","Italian","Steakhouse","Indian","Pizza","International","Wine Bar",,,"Lunch","Breakfast","Dinner","Drinks",,,"37.076973","KES 593 - KES 2,965",,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d17571909-Reviews-Jib_s_Cafe_Bistro-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valley_.html","RESTAURANT","0","1","2","2","17","jibsbistro@gmail.com","4.5","Nanyuki Town","Kenya","10400",,"Kenyatta Highway","P.O Box 24",,"0.012861","Lunch","Breakfast","Dinner","Drinks",,,,"https://media-cdn.tripadvisor.com/media/photo-o/17/e1/a2/ef/one-of-the-dining-area.jpg","32","#8 of 43 places to eat in Nanyuki Town","Kenyatta Highway P.O Box 24, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"254745063000","","8","22","3.3600189685821533","Closed Now","false","false","Jib's Cafe.Bistro","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://www.facebook.com/pg/jibscafe.bistro/about/","17571909","Restaurants","$","Café"
,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1260","420",,,"1260","420","1260","420","1260","420","1260","420","1260","420",,,,,,,,,,"Lettuce Eat Nanyuki is an AmericaKenyan restaurant that takes pride in serving the best American and Kenyan dishes. We believe in big flavors and small prices. Come experience for yourself. We are serving breakfast, lunch, and dinner.","American","African",,,,,,,"Breakfast","Lunch","Dinner",,,,"37.073612",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant",,"https://www.tripadvisor.com/Restaurant_Review-g612348-d24177023-Reviews-Lettuce_Eat_Nanyuki-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valle.html","RESTAURANT","0","0","0","0","0","lettuceat.nanyuki@gmail.com",,"Nanyuki Town","Kenya","10400",,"Benmwaki Tower House Irura Road",,,"0.010468","Breakfast","Lunch","Dinner",,,,,,"0",,"Benmwaki Tower House Irura Road, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 713 694120","",,"0",,"Closed Now","false","false","Lettuce Eat Nanyuki","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://lettuce-eat-nanyuki.business.site","24177023","Restaurants",,
,,,,,,,,,,,,,,,,,,,,,,"Africa/Nairobi","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480","1380","480",,,,,,,,,,"A Modern Afro-fused Mediterranean Restaurant with an outdoor terrace and upstairs bar","African","Bar","Pizza","Mediterranean","Pub","Fusion",,,"Breakfast","Lunch","Dinner",,,,"37.07859",,,"612348","Nanyuki Town","City",,"11550013","Nanyuki Municipality","Municipality",,"10501193","Laikipia County","County",,"2697619","Rift Valley Province","Province",,"294206","Kenya","Country","restaurant","32","https://www.tripadvisor.com/Restaurant_Review-g612348-d23900673-Reviews-Nika_Lounge_Nanyuki-Nanyuki_Town_Nanyuki_Municipality_Laikipia_County_Rift_Valle.html","RESTAURANT","0","0","0","0","1","dennismbaluto@yahoo.com","5","Nanyuki Town","Kenya","10400",,"Makutano Nanyuki, Along Nanyuki Timau Road, 2km Of",,,"0.01481","Breakfast","Lunch","Dinner",,,,,"https://media-cdn.tripadvisor.com/media/photo-m/1280/22/30/3e/8a/the-diamond-of-laikipia.jpg","16","#25 of 43 places to eat in Nanyuki Town","Makutano Nanyuki, Along Nanyuki Timau Road, 2km Of, Nanyuki Town, Nanyuki Municipality 10400 Kenya",,"+254 713 992020","","25","1","3.0416886806488037","Closed Now","false","false","Nika Lounge Nanyuki","Nanyuki Town, Nanyuki Municipality, Laikipia County, Rift Valley Province","http://nikalounge.business.site/?utm_source=gmb&utm_medium=referral","23900673","Restaurants",,
